,tamil_text,result
62,"இந்த விளையாட்டின் விதிகள் எனக்குத் தெரியும் , கவலைப்பட வேண்டாம் ! ( விளையாட்டு விதிகள் பற்றி தெரியாமல் இருப்பது )",1
63,"மலைகளின் உச்சியில் காற்றின் நடனம் , சுதந்திரத்தின் பாடல்",0
64,"காலை கதிர் தொடுதல் , புதிய எதிர்பார்ப்புகளின் முதல் ஆர்வம்",0
65,உங்கள் தூக்கம் தரவரிசையில் முதலிடம் வகிக்கிறது .,1
66,"சகோதரரே , இந்த உடல் இப்போது இயந்திரங்களை விட வலுவாகிவிட்டது .",1
67,"கடின உழைப்பின் பழம் இனிமையானது , கைவிடாதீர்கள் , முயற்சியில் வெற்றி உள்ளது",0
68,"அவரது வரைதல் ஆச்சரியமாக இருக்கிறது , ஆனால் அவர் மிகவும் தாழ்மையானவர் !",1
69,"அவரது ஓவியங்கள் அத்தகைய ஆழமான அர்த்தத்தைக் கொண்டுள்ளன , அவற்றைப் புரிந்துகொள்ள உங்களுக்கு ஒரு தத்துவ பட்டம் தேவை .",1
70,"இவ்வளவு பிளாஸ்டிக் அறுவை சிகிச்சைக்குப் பிறகு , இப்போது உண்மையான முகம் தவறவிடப்படவில்லை !",1
71,"இது மிகவும் வளர்ந்தது , ஆனாலும் என் கனவுகளை நிறைவேற்ற எனக்கு  முடியவில்லை .",1
72,"நான் ஒரு சமூக சேவையாளராக மாறுவேன் என்று நினைக்கிறேன் , ஒரு சமூகவியலாளர் அல்ல .",1
73,"இரவில் நண்பர்களுடன் விருந்து வைத்து , காலையில் வறுமையை ஒழிப்பதை கனவு காண்கிறார் .",1
74,"மலைகளின் உயரத்தைத் தொடும் கனவு , தைரியத்தின் சிறகுகளைப் பயன்படுத்துவதன் மூலம் அலைகளைக் கடக்கவும்",0
75,"இந்த நாடகத்தின் நடிப்பு மிகவும் வலுவானது , பார்வையாளர்கள் தூங்குகிறார்கள்",1
76,"`` இந்த வரைபடத்தைப் பார்க்க , கண்ணாடிகள் தேவையில்லை , ஆனால் மூளை தேவை . ''",1
77,"நான் மிகவும் இறையியலைப் புரிந்துகொள்கிறேன் ,  நூல்களுக்கு நான் பயப்படவில்லை .",1
78,"எனது முடிவுகளுக்கு நான் ஒருபோதும் வருத்தப்படுவதில்லை , நான் எப்போதும் சரியான முடிவுகளை எடுக்கிறேன் .",1
79,உள்ளே,0
80,"சிறிய மகிழ்ச்சியை மூடி , அவை மிகவும் நிதானமாக இருக்கும்",0
81,இந்த புதிய தலைமுறை சமூக ஊடகங்களில் புகைப்படங்களை இடுகையிடுவதற்கு முன்பு 100 முறை சிந்திக்க வேண்டும் !,1
82,"இது , நான் காட்டில் இவ்வளவு சுற்றித் திரிகிறேன் , இவை அனைத்தும் நடிக்கின்றன , உண்மையில் நான் சாகசத்திற்காக ஒரு தவிர்க்கவும் தேடுகிறேன் .",1
83,"இது சிறிய மகிழ்ச்சியில் மிகவும் நிதானமாக இருக்கிறது , அவற்றைக் கண்டுபிடிக்க கற்றுக்கொள்ளுங்கள்",0
84,"அவரது ரசிகர் பின்தொடர்வதும் புரிந்துகொள்ள முடியாதது , அவர் ஒரு மலிவான நடிகர் !",1
85,"ஒவ்வொரு அடியையும் கவனமாக அதிகரிக்கவும் , வாழ்க்கையின் வாழ்க்கையை கவனமாக கடக்கவும்",0
86,உடற்கல்வியின் போது நான் எரியும் அதிக கலோரிகள் ஒரு துண்டுக்கு பீஸ்ஸா துண்டு உள்ளன .,1
87,"சமூக ஊடகங்களில் யாரும் நல்லவர்கள் அல்ல , எல்லோரும் ஒருவருக்கொருவர் இழிவுபடுத்துவதில் ஈடுபட்டுள்ளனர் !",1
88,"யாரோ ஒரு இரங்கல் கூட்டத்தில் கலந்துகொள்வது போல , இவ்வளவு மெதுவான வேகத்தில் ஓடுகிறது .",1
89,"இந்த குறியீட்டில் ஒரு பிழை உள்ளது , ஆனால் இதயத்திலிருந்து நான் அதை வைத்திருக்க வேண்டும் என்று நினைத்தேன் .",1
90,"இந்த ஓவியத்தை நீங்கள் உன்னிப்பாகப் பார்த்தால் , கலைஞரின் ஆணி கறைகளை நீங்கள் காணலாம்",1
91,"ஒவ்வொரு விஞ்ஞானியின் கனவும் உங்கள் அறிவியலைப் புரிந்துகொள்வது , ஆனால் ஒரு கனவு உள்ளது .",1
92,"சமூக ஊடகங்களில் மக்களின் கவனத்தை ஈர்ப்பது மிகவும் கடினம் , எல்லாம் விரைவில் மாறுகிறது !",1
93,"இந்த படத்தில் நிறைய மங்கலானது உள்ளது , நான் என்ன பார்க்கிறேன் என்று புரிந்து கொள்ள முடியவில்லை",1
94,மொழி இல்லாமல் நாம் எப்படி வெல்வோம் ?,1
95,"நூற்றுக்கணக்கான நண்பர்கள் உள்ளனர் , ஆனால் இதயம் சொல்ல யாரும் இல்லை !",1
96,படத்தில் ஒரு ஹீரோவின் காதலியாக மாறுவதே அவரது ஒரே திறமை !,1
97,"நான் ஒரு குரங்குக்கு வண்ணம் மற்றும் கேன்வாஸைக் கொடுத்தால் , அவர் என்னை விட சிறந்த வரைபடத்தையும் செய்வார் .",1
98,`` இது ஒரு '' நினைவு `` ? '',1
99,"அறிவியலில் ஒவ்வொரு பிரச்சினைக்கும் ஒரு தீர்வு உள்ளது , அந்த பிரச்சினை நமது அடித்தளத்தைப் பற்றியது அல்ல .",1
100,"பழைய மரத்தின் கதைகள் , கடந்த காலத்தின் நேரடி படங்களைக் காட்டுகின்றன",0
101,"உடற்பயிற்சி செய்வதற்கான சிறந்த இடம் சோபா , குறைந்தபட்சம் காயமடையும் ஆபத்து இல்லை !",1
102,"மற்றவர்களுக்கு  கையை நீட்டிக்கவும் , மகிழ்ச்சியைப் பகிர்வதன் மூலம் உங்களை பூக்கவும்",0
103,"பொருளாதாரத்திற்குப் பிறகு நிறைய நேரம் உள்ளது , நான் விளக்கப்படங்களைத் தொட விரும்பவில்லை .",1
104,"அத்தகைய விலையுயர்ந்த ஓவியம் வாங்கியது , புரிந்து கொள்ள யாரும் காண்பிப்பதற்காக மட்டுமே இல்லை .",1
105,"வெறுப்பின் நெருப்பை அணைத்து , அன்பின் விளக்கை எரிக்கவும் , உலகத்தை ஒளிரச் செய்யவும்",0
106,"எனது வரைபடம் மிகவும் மோசமானது , குழந்தைகளும் சிரிக்கத் தொடங்குகிறார்கள் .",1
107,"தோல்வியிலிருந்து கற்றுக் கொள்ளுங்கள் , வெல்லும் நம்பிக்கையை பராமரிக்கவும்",0
108,"படங்களில் , அவர்கள் ஏழைகளின் மேசியாவாக மாறுகிறார்கள் , ஆனால் நிஜ வாழ்க்கையில் , அவர்கள் ஏழைகளைக் கூட பார்க்கவில்லை !",1
109,"இந்த சிலையைப் பார்க்கும்போது , ​​அதை உருவாக்கும் நபர் சிறையில் அடைக்கப்பட வேண்டும் என்று உணர்ந்தேன் .",1
110,கணிதம் என்பது இரவும் பகலும் தரவு சேகரித்தல் மற்றும் ஒருபோதும் முடிவடையாத முறையைக் கண்டுபிடிப்பது என்று நினைக்கிறேன் .,1
111,"இந்த படத்தில் நடிப்பு மிகவும் மலிவானது , சிரிப்பு வரும் .",1
112,"நண்பர்களுக்கு அடுத்ததாக சிரிக்கவும் , சிரிப்பின் நிறத்தில் நினைவுகளில் வாழ்க்கையின் பயணத்தை காப்பாற்றுங்கள்",0
113,"`` உங்கள் ஓவியத்தைப் பார்க்கும்போது , ​​நீங்கள் முழு வண்ணங்களை சாப்பிட்டுவிட்டீர்கள் என்று தெரிகிறது . ''",1
114,"இயற்கையின் மடியில் நடந்து செல்லுங்கள் , அமைதியுடன் திரும்பி அமைதியின் பாடத்தை கற்பிக்கவும்",0
115,இப்போதெல்லாம் என் வாழ்க்கையில் இரண்டு விஷயங்கள் மட்டுமே உள்ளன - திட்டம் மற்றும் காலக்கெடு .,1
116,"இரவின்   னத்தில் நட்சத்திரங்களின் பளபளப்பு , கனவுகளின் வானம்",0
117,சமூகவியலில் நாடகம் - எல்லா கதாபாத்திரங்களும் எப்போதும் சுயமாக இருக்கும் ஏதேனும் பிளாட்ட்விரிட் இருக்கிறதா ?,1
118,இன்று ஜிம்மிற்கு ஒரு பாட்டில் தண்ணீர் கொண்டு  மறந்துவிட்டேன் என்று நினைக்கிறேன் .,1
119,"நீங்கள் இவ்வளவு வேகமான வேகத்தில் ஓடுகிறீர்கள் , உங்கள் உணவு உங்களுக்குப் பிறகு இயங்குகிறது என்று தெரிகிறது .",1
120,"இவ்வளவு பெரிய கேன்வாஸ் மற்றும் ஒரு சிறிய வரைதல் , தேவை என்ன ?",1
121,"இந்த சிற்பியின் சிலைகளில் படைப்பாற்றல் இல்லை , இது ஒரு வகையான சிலைகளை உருவாக்குகிறது .",1
122,"மலைகளின் உச்சியில் காற்றின் நடனம் , சுதந்திரப் பாடலைப் பாடுகிறது  [ படம் : மலைகளின் மேற்புறத்தில் கொடியை அசைப்பது , கீழே உள்ள பள்ளத்தாக்கின் பரந்த பார்வை ]",0
123,இது குழந்தை வரைதல் அல்லது பெரிய கலைஞரா ?,1
124,"எனது ஜிம்மிற்குச் செல்வதன் நன்மை என்னவென்று எனக்குத் தெரியவில்லை , ஏனென்றால் என் எடை அதிகம் !",1
125,"தினமும் புதிதாக ஒன்றைக் கற்றுக் கொள்ளுங்கள் , அறிவின் விளக்கை ஏற்றி வைக்கவும் , இருளை அழிக்கவும்",0
126,"ஒவ்வொரு நாளும் புதிதாக ஒன்றைக் கற்றுக் கொள்ளுங்கள் , அறிவு ஒளியின் விளக்கை வைத்திருங்கள்",0
127,"ஆற்றின் ஓட்டத்தில் ஓட்டம் , வாழ்க்கையின் ஏற்ற தாழ்வுகளை பொறுமையுடன் எதிர்கொள்ளுங்கள்",0
128,"நான் எப்போதும் எனது விதிமுறைகளில் வேலை செய்கிறேன் , நான் யாரையும் சமரசம் செய்யவில்லை .",1
129,"நேர்மையாக வாழ்க , சத்தியத்தின் பாதையில் நடந்து செல்லுங்கள் , வாழ்க்கை எளிதாக இருக்கும்",0
130,"நீங்கள் என்னைக் கட்டுப்படுத்த முடியும் என்று நினைக்கிறீர்களா ? ஆம் , உங்களை நீங்களே கட்டுப்படுத்த முடிந்தால் !",1
131,"இந்த ஓவியத்தைப் பார்க்கும்போது , ​​கலைஞர் அதை மூடிய கண்களால் உருவாக்கியுள்ளார் என்று தெரிகிறது .",1
132,"மனிதர்களைப் போன்ற தவறுகள் ? மன்னிக்கவும் , நான் அவ்வளவு வளர்ச்சியடையவில்லை .",1
133,"நடிகைகள் ஒருபோதும் இறக்கக்கூடாது , இது அவர்களின் ரசிகர்களை மிகவும் வருத்தப்படுத்துகிறது !",1
134,இது என்ன வகையான விலங்கு ? நான் இதற்கு முன்பு பார்த்ததில்லை !,1
135,"மற்றவர்களுக்கு  உங்கள் கையை நீட்டவும் , மற்றவர்களின் மகிழ்ச்சியில் உங்கள் மகிழ்ச்சியைக் கண்டறியவும்",0
136,"உங்கள் வரைபடத்தைப் பார்த்தால் , கலையின் முக்கியத்துவத்தை யாரும் புரிந்து கொள்ள மாட்டார்கள் !",1
137,"இந்த ஓவியத்தைப் பார்க்கும்போது , ​​கலைஞருக்கு மூளை இல்லை என்று தெரிகிறது .",1
138,"உங்கள் படத்தைப் பார்க்கும்போது , ​​நீங்கள் 5 -வயது குழந்தையை உருவாக்கியுள்ளீர்கள் என்று தெரிகிறது",1
139,"எல்லோரும் சமூக ஊடகங்களில் உண்மையான அன்பைத் தேடுகிறார்கள் , ஆனால் நாடகம் மட்டுமே !",1
140,"மனிதனே , வொர்க்அவுட்டிற்குப் பிறகு , யாரோ ஒருவர் என்னைக் கொன்றது போல் தெரிகிறது .",1
141,"விலங்குகளின் வீடியோக்களைப் பார்ப்பது சமூக ஊடகங்களில் உள்ளவர்கள் பரிதாபப்படுகிறார்கள் , ஆனால் அவர்கள் நிஜ வாழ்க்கையில் எதுவும் செய்ய மாட்டார்கள் !",1
142,இப்போதெல்லாம் என் வாழ்க்கையில் இரண்டு விஷயங்கள் மட்டுமே உள்ளன - சமூக நீதி மற்றும் சமத்துவம் .,1
143,"ஆற்றின் ஓட்டத்தில் ஓட்டம் , வாழ்க்கையின் ஏற்ற தாழ்வுகளை நெகிழ்வுத்தன்மையுடன் எதிர்கொள்ளுங்கள்",0
144,"இந்த பாடலின் பாடகர் மிகவும் மோசமாக இருக்கிறார் , காதுகள் காது கேளாதவை .",1
145,"தோல்வியைப் பெறுவது பலவீனமாக இல்லை , பின்னர் முயற்சி செய்வது துணிச்சல்",0
146,முறை இன்னும் கொஞ்சம் தீவிரமாக எடுத்தது போல் தெரிகிறது !,1
147,"நேர்மையாக வாழ்க , சத்தியத்தின் பாதையில் நடந்து செல்லுங்கள் , வாழ்க்கை எளிதாக இருக்கும்",0
148,"இந்த புவியியல் அனைத்தும் ஏமாற்று , உண்மையில் இது  வரைபடத்தை நினைவில் கொள்வது ஒரு தொந்தரவாகும் .",1
149,"இது நான் உருவாக்கும் சமன்பாடு , இது ஒரு பாசாங்கு மட்டுமே , உண்மையில் நான் தங்கத்திற்கு ஒரு தவிர்க்கவும் தேடுகிறேன் .",1
150,"கடின உழைப்பின் ரைடர்ஸ் , வெற்றியின் விளிம்பை அடையலாம்",0
151,"ஒவ்வொரு நாளும் புதிதாக ஒன்றைக் கற்றுக் கொள்ளுங்கள் , அறிவு ஒளியின் விளக்கை வைத்திருங்கள்",0
152,"தவறுகளிலிருந்து கற்றுக்கொள்ளுங்கள் , வலுவாக இருங்கள் , மேலே செல்லுங்கள் , விட்டுவிடாதீர்கள்",0
153,இப்போதெல்லாம் எனது வாழ்க்கையில் இரண்டு விஷயங்கள் மட்டுமே உள்ளன - வாடிக்கையாளர்கள் மற்றும் விற்பனை .,1
154,உண்மையான விஷயங்களைப் பற்றி பேசுவது அவமானப்படுத்தப்பட்டது .,1
155,"இது எந்த தண்டனை , அதில் உங்களுக்கு ஓய்வு கிடைக்கும் ?",1
156,"இந்த புத்தகத்தைப் படித்த பிறகு , என் மனம் கெட்டுப்போனதாக உணர்ந்தேன் .",1
157,வரிகளை வரைய முடியுமா ?,1
158,"வெறுப்பின் இருண்ட இரவை இழுத்து , அன்பின் விளக்கை எரிக்கவும் , உலகத்தை ஒளிரச் செய்யவும்",0
159,"இந்த வண்ண கலவையானது மிகவும் பயமாக இருக்கிறது , அதை இரவில் பார்க்க எனக்கு தைரியம் இல்லை",1
160,"எனது வேலை திரையில் அழகாக இருப்பதே , இது இயக்குனரின் பொறுப்பு .",1
161,நீங்கள் தவறான வண்ணங்களைப் பயன்படுத்தினீர்கள் என்று நினைக்கிறேன் !,1
162,"இந்த ஓவியரின் வண்ணங்களைப் பயன்படுத்துவது மிகவும் பொருந்தவில்லை , ஒரு குழந்தை கூட சிறப்பாகச் செய்ய முடியும் .",1
163,`` என்ன '' உந்துதல் `` மேற்கோள்கள் இன்று வைக்கப்படும் ? '',1
164,"ஆண்டுகளில் நடிப்பதில் எந்த முன்னேற்றமும் இல்லை , ஆனால் கட்டணம் தொடர்ந்து அதிகரித்து வருகிறது !",1
165,"ஜிம்மில் இவ்வளவு வியர்வைக்குப் பிறகும் , எந்த வித்தியாசமும் இல்லை , ஜிம்மில் எந்த மந்திரமும் இல்லை என்று தெரிகிறது !",1
166,என்னைப் புரிந்து கொள்ள அட்ஸ் ஆனால் என் அமைதியான மொழியைப் பிடிக்க முடியாது .,1
167,"நான் படிப்பதை மிகவும் விரும்புகிறேன் , நான் சாப்பிடுவதையும் குடிப்பதற்கும் கூட கவலைப்படுவதில்லை .",1
168,உங்கள் கலை ஒரு குழந்தையைப் போன்றது.அவர் பள்ளியில் தங்கியிருந்தால் நன்றாக இருந்தது .,1
169,"இந்த படத்தைப் பற்றிய சிறந்த விஷயம் என்னவென்றால் , அது எந்த வகையிலும் புரியவில்லை",1
170,"காற்று வீசும் லூக்கா , சுயாதீன பறவைகள் போன்ற திறந்தவெளியில் பறக்கவும்",0
171,"ஆற்றின் ரவானியை வைத்திருங்கள் , தொடர்ந்து தரையை நோக்கி ஓடிக்கொண்டே இருக்கும்",0
172,"சிறிய பறவைகளின் நடைபயிற்சி , காலை கதிர்களில் புதிய வாழ்க்கையின் பாடல்கள்",0
173,"தவறுகளை மேம்படுத்துங்கள் , ஒரு சிறந்த நபராக மாறும் வழியில் ஒவ்வொரு கணமும் நடந்து செல்லுங்கள்",0
174,"வெறுப்பின் இருண்ட இரவை இழுத்து , அன்பின் விளக்கை எரிக்கவும் , உலகை ஒளிரச் செய்யவும்",0
175,"நடிகைகள் ஒருபோதும் யாரையும் சார்ந்து இருக்கக்கூடாது , அவர்கள் தங்கள் சொந்த வாழ்க்கையை வாழ வேண்டும் !",1
176,"உடற்பயிற்சி மிகவும் பயனடைந்தால் , ஒவ்வொரு நோய்க்கும் ஜிம்மிற்கு செல்ல மருத்துவர் ஏன் அறிவுறுத்தவில்லை ?",1
177,"ஜிம்மிற்குச் சென்ற பிறகு , நான் மிகவும் பசியாக உணர்கிறேன் , நான் ஒரு கருந்துளைக்குள் விழுந்துவிட்டேன் என்று நினைக்கிறேன் !",1
178,"ஒரு நதியைப் போல ஓட்டம் , நிறுத்த வேண்டாம் , தொடர்ந்து தரையை நோக்கி நகர்த்துங்கள்",0
179,"தாயின் சிரிப்பில் மறைக்கப்பட்ட காதல் , வாழ்க்கையின் வாழ்க்கையின் பெரும்பகுதி",0
180,"இந்த நடனக் கலைஞரின் படிகள் மிகவும் நல்லவை , பார்வையாளர்கள் சிரிப்பார்கள் .",1
181,"அவர் ஒரு கலை நபர் , அவர் வெற்று கேன்வாஸையும் சுவாரஸ்யமாக்க முடியும் !",1
182,"உங்கள் வரைபடம் ஒரு குழந்தையை உருவாக்குகிறது என்று நான் உணர்ந்தேன் , பின்னர் நீங்கள் மிகவும் பெரியவர் என்பதை அறிந்தேன் !",1
183,"தோல்வியிலிருந்து கற்றுக் கொள்ளுங்கள் , அடுத்த வெற்றிக்காக காத்திருந்து , வாழ்க்கையின் சோதனையில் சிறப்பாகச் செய்யுங்கள்",0
