,punjabi_text,result
13,"ਜ਼ਿੰਦਗੀ ਨਦੀ ਹੈ ,  ਵਾਰੀ , ਹੱਸਦੇ ਅਤੇ ਹੱਸਣ ਤੇ  ਨਵਾਂ ਦ੍ਰਿਸ਼ ਹੁੰਦਾ ਹੈ",0
14,ਦੀ ਕਲਾ ਇੰਨੀ ਪ੍ਰੇਰਣਾਦਾਇਕ ਹੈ ਕਿ ਤੁਸੀਂ ਉੱਠਣਾ ਅਤੇ ਕੁਝ ਵੀ ਕਰਨਾ ਪਸੰਦ ਨਹੀਂ ਕਰਦੇ .,1
15,"ਗਲਤੀਆਂ ਤੋਂ ਸਿੱਖੋ ,  ਬਿਹਤਰ ਵਿਅਕਤੀ ਬਣੋ",0
16,ਪਹਿਲੀ ਰੇ ਨੂੰ ਛੂਹਣ ਨਾਲ ਜ਼ਿੰਦਗੀ ਦੇ  ਯਾਤਰਾ ਨੂੰ ਮੁਸਕਰਾਹਟ ਨਾਲ ਪ੍ਰਕਾਸ਼ਤ ਕਰੇਗਾ,0
17,"ਉਨ੍ਹਾਂ ਪਹਾੜਾਂ ਦੀ ਉਚਾਈ ਨੂੰ ਛੂਹਣ ਦਾ ਸੁਪਨਾ , ਆਤਮਿਆਂ ਦੇ ਖੰਭਾਂ ਦੇ ਖੰਭ ਲਗਾ ਕੇ ਅਸਮਾਨ ਨੂੰ ਮਾਪੋ",0
18,"ਕਵਿਤਾ ਵਿਚ ਸਿਰਫ  ਖੇਡ ਹੈ ,  ਦਾ ਕੋਈ  ਨਹੀਂ ਹੈ .",1
19,"ਦੂਜਿਆਂ ਦੀ    ਹੱਥ ਵਧਾਉਂਦੇ ਰਹੋ , ਆਪਣੇ  ਨੂੰ ਖੁਸ਼ੀ ਸਾਂਝੀ ਕਰਕੇ ਖਿੜੋ",0
20,ਛੋਟੀ ਜਿਹੀ ਖੁਸ਼ੀ ਵਿਚ ਬਹੁਤ ਆਰਾਮਦਾਇਕ ਹੈ,0
21,"ਦੀ  ਨਾਲ , ਅਸੀਂ ਪੁਲਾੜ ਵਿਚ ਜਾ ਸਕਦੇ ਹਾਂ ,  ਸਾਡੇ  ਵਿਚ ਖੁਸ਼ ਨਹੀਂ ਹੋ ਸਕਦੇ .",1
22,"ਭਾਸ਼ਾ ਦੀ ਦੁਰਵਰਤੋਂ ਵੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ,   ਸਾਵਧਾਨ ਰਹੋ !",1
23,"ਕੁਦਰਤ ਦੇ ਸੰਗੀਤ ਵਿਚ , ਸ਼ਾਂਤੀ ਮਿਲੇ , ਸ਼ਾਂਤੀ 'ਤੇ ਗੌਰ ਕਰੋ ਅਤੇ ਜ਼ਿੰਦਗੀ ਦੀ ਸਾਦਗੀ ਨੂੰ ਸਮਝੋ",0
24,ਅੱਜ ਮੈਂ ਰਿਕਾਰਡ ਤੋੜਨ ਜਾ ਰਿਹਾ ਹਾਂ ! ( ਤੇਜ਼ੀ ਨਾਲ ਚੱਲ ਰਿਹਾ ਹੈ ),1
25,ਡਰਾਇੰਗ ਇੰਨੀ ਮਾੜੀ ਹੈ ਕਿ ਮੈਂ  ਨੂੰ ਮੇਰੇ ਦੁਸ਼ਮਣ ਨੂੰ ਵੀ ਨਹੀਂ ਦਿਖਾਵਾਂਗਾ,1
26,ਤੁਹਾਡੇ ਨੋਟਾਂ ਨੂੰ ਰੱਬ  ਅਧਿਐਨ  ਦੀ ਸਥਿਤੀ ਮਿਲੀ ਹੈ .,1
27,"ਦਾ ਅਨੰਦ  , ਜ਼ਿੰਦਗੀ ਦੁਬਾਰਾ ਨਹੀਂ ਮਿਲਦੀ",0
28,`` ਮੈਂ ਹੈਰਾਨ ਹਾਂ ਕਿ ਤੁਸੀਂ ਅਜਿਹੀ ਬਕਵਾਸ ਬਣਾ ਕੇ ਕਿਵੇਂ  ਸਕਦੇ ਹੋ . '',1
29,ਨਿਵੇਸ਼ ਕਰਨਾ - ਕੀ ਇੱਥੇ ਕੋਈ ਖੇਡ ਹੈ ਜਿੱਥੇ  ਕੁਝ ਗੁਆਉਣ ਤੋਂ ਬਾਅਦ ਵੀ ਜਿੱਤੇਗਾ ?,1
30,ਚੋਰਵੈਡ ਸਾਗਰ ਸ਼ੋਅਰ ਸੈਲਾਨੀਆਂ  ਇੱਕ ਪ੍ਰਸਿੱਧ ਜਗ੍ਹਾ ਹੈ,0
31,ਤੁਸੀਂ ਪਿਕਾਸੋ ਨੂੰ ਹਰਾਇਆ ਵੀ ਮਾਰੋਗੇ !  ਤਸਵੀਰ ਕਿੰਨੀ ਸ਼ਾਨਦਾਰ ਤਸਵੀਰ ਬਣਾਈ  ਹੈ !,1
32,"ਸਰੀਰਕ ਸਿੱਖਿਆ ਦੇ ਕਲਾਸਰੂਮ ਵਿਚ , ਅਧਿਆਪਕ  ਤੋਂ ਵੱਧ ਆਉਂਦਾ ਹੈ .",1
33,ਉਨ੍ਹਾਂ ਵਾਂਗ ਕੋਈ ਹੋਰ ਅਦਾਕਾਰ ਨਹੀਂ ਹੈ !,1
34,"ਹਾਂ , ਤੁਹਾਡੇ ਬਗੈਰ  ਸਾਰਾ ਵਿਗਿਆਨ ਅਧੂਰਾ ਹੈ , ਸਾਡੀ ਸੋਚ ਤੁਹਾਡੇ ਤੋਂ ਬਿਨਾਂ  ਨਹੀਂ ਸਕੀ .",1
35,"ਚੁਣੌਤੀ ਨੂੰ ਪਾਰ ਕਰੋ , ਹੌਂਸਲਾ ਨਾ ਗੁਆਓ",0
36,"ਅਧਿਐਨ ਦੇ ਨਾਮ ਤੇ , ਸਿਰਫ ਤੁਸੀਂ ਡਿਗਰੀ ਲੈਣਾ ਚਾਹੁੰਦੇ ਹੋ , ਗਿਆਨ ਨਹੀਂ .",1
37,"ਇੱਥੇ  ਮਿਹਨਤ ਦਾ ਮੇਲ ਨਹੀਂ ਹੁੰਦਾ , ਸਫਲਤਾ ਨਿਸ਼ਚਤ ਤੌਰ ਤੇ  ਹੈ",0
38,ਰਾਜਨੀਤਿਕ ਵਿਗਿਆਨ - ਕੀ ਕੋਈ ਗਿਆਨ ਹੈ ਜਿਸ ਵਿੱਚ ਰਾਜਨੀਤਿਕ ਨੇਤਾ ਹਮੇਸ਼ਾਂ ਇਮਾਨਦਾਰ ਅਤੇ ਸੱਚਾ ਹੁੰਦੇ  ?,1
39,`` ਸਰੀਰਕ ਸਿੱਖਿਆ '' ਦੇ ਨਾਮ ਤੇ  ਲੋਕ ਸਾਨੂੰ `` ਕਾਲਜ ਆਫ਼ ਡਾਂਸ '' ਨੂੰ ਭੋਜਨ ਦੇ ਰਹੇ  .,1
40,"ਤਸਵੀਰ ਨੂੰ ਵੇਖਦਿਆਂ , ਅਜਿਹਾ ਲਗਦਾ ਹੈ ਕਿ ਕਲਾਕਾਰ ਵਿਚਕਾਰ ਪੇਂਟਿੰਗ ਨੂੰ ਛੱਡ ਕੇ ਚਾਹ ਪੀਣ   .",1
41,"ਨਦੀ ਦੇ ਕਿਨਾਰੇ ਨੂੰ ਰੱਖੋ , ਉਦੋਂ  ਵਗਦੇ ਰਹੋ ਜਦੋਂ  ਫਰਸ਼ ਪ੍ਰਾਪਤ ਨਹੀਂ ਹੋ ਜਾਂਦੀ , ਲਹਿਰਾਂ ਨਾਲ ਘਬਰਾਓ ਨਾ",0
42,ਮੈਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਮੈਂ ਅੱਜ ਸ਼ਾਮ ਨੂੰ ਜਿੰਮ ਛੱਡ ਦਿਆਂਗਾ ਅਤੇ ਪੀਜ਼ਾ ਪ੍ਰਾਪਤ ਕਰਾਂਗਾ .,1
43,"ਨਕਲੀ ਬੁੱਧੀ ਦਾ ਭਵਿੱਖ ਚਮਕਦਾਰ ਹੈ , ਜਿਵੇਂ ਕਿ ਰੋਬੋਟ ਮਿਡਜ਼ ਦਾ ਭਵਿੱਖ ਚਮਕਦਾਰ ਸੀ !",1
44,"ਨਦੀ ਵਾਂਗ ਵਗਦਾ ਹੈ , ਨਾ ਰੁਕੋ , ਫਰਸ਼ ਵੱਲ ਵਧੋ",0
45,ਕੀ  ਡਰਾਇੰਗ ਨੂੰ ਬਣਾਉਣ  ਤੁਹਾਨੂੰ 5 ਸਾਲ ਲੱਗ ਗਿਆ ?,1
46,"ਹਿੰਮਤ ਨਾ ਹਾਰੋ , ਨਿਸ਼ਚਤ ਰੂਪ ਤੋਂ ਟੀਚੇ ਤੇ ਪਹੁੰਚੋ ਅਤੇ ਸਫਲਤਾ ਦੀ ਮਿੱਠੀ ਦਾ ਸਵਾਦ",0
47,"ਸੱਚ ਅਤੇ ਇਮਾਨਦਾਰੀ ਦਾ ਰਾਹ ਅਪਣਾਓ ,  ਸਫਲਤਾ ਦਾ  ਤੋਂ ਖੂਬਸੂਰਤ ਮੰਤਰ ਹੈ",0
48,"ਆਦਮੀ ਨੂੰ  ਬਣਾਉਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਵਿਚ , ਆਦਮੀ ਨੂੰ  ਵਾਂਗ ਨਾ ਬਣਾਓ !",1
49,"ਤਰੀਕੇ ਨਾਲ , ਤੁਹਾਡੀ ਸੋਚ ਵਿਗਿਆਨ ਦੇ ਇਤਿਹਾਸ ਨੂੰ  ਸਕਦੀ ਹੈ .",1
50,"ਗਾਉਣ ਵਾਲੇ ਗਾਣੇ , ਡਾਂਸ , ਖੁਸ਼ਹਾਲੀ ਦੇ ਰੰਗਾਂ ਨਾਲ  ਦਿਓ",0
51,ਮੂਰਤੀ ਦੀ  ਇੰਨੀ ਮਾੜੀ ਹੈ ਕਿ ਬੱਚੇ ਵੀ ਹੱਸਣਗੇ .,1
52,ਸਮਾਜ ਸ਼ਾਸਤਰ ਵਿੱਚ ਉਦੇਸ਼ਿਤ ਲੋਕ - ਕੋਈ ਸਮਾਂ ਸੀ ਜਦੋਂ ਲੋਕ ਹਮੇਸ਼ਾਂ ਆਪਣੇ ਭਵਿੱਖ ਨੂੰ ਸਹੀ ਤਰ੍ਹਾਂ ਪਛਾਣ ਸਕਦੇ  ?,1
53,ਕਵੀ ਦੀਆਂ ਕਵਿਤਾਵਾਂ ਇੰਨੀਆਂ ਬੋਰਿੰਗ  ਕਿ ਅੱਖਾਂ ਉਨ੍ਹਾਂ ਨੂੰ ਪੜ੍ਹੀਆਂ ਜਾਂਦੀਆਂ  .,1
54,"ਗਾਣਾ ਬਣਾਓ , ਮੁਸਕਰਾਹਟ ਨਾਲ ਜ਼ਿੰਦਗੀ ਗਾਓ",0
55,ਜੇ ਖੋਜ ਜ਼ਿੰਦਗੀ ਹੈ ਤਾਂ ਜ਼ਿੰਦਗੀ ਬਹੁਤ ਬੋਰਿੰਗ ਹੈ .,1
56,"ਗਰਾਫਿਕਸ ਦੀ ਰੰਗੀਨ ਦੁਨੀਆ , ਵਰਚੁਅਲ ਰੂਹਾਂ ਦੀ ਯਾਤਰਾ",0
57,`` ਮੈਂ ਹੈਰਾਨ ਹਾਂ ਕਿ ਤੁਸੀਂ   ਕਿੰਨਾ ਪੈਸਾ ਲਿਆ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ . '',1
58,ਜਿਹੜੇ ਜ਼ਿੰਦਗੀ ਦੇ ਰਾਹ ਤੇ ਇਕੱਠੇ ਚੱਲਦੇ   ਇੱਕ  ਨੂੰ ਸੌਖਾ ਬਣਾਉਂਦੇ,0
59,ਜਿੰਮ ਵਿਚ ਟ੍ਰੇਨਰ ਮੇਰੇ ਨਾਲ ਗੱਲ ਕਰਦਾ ਹੈ ਜਿਵੇਂ ਕਿ ਮੈਂ ਕਿਸੇ ਹੋਰ ਗ੍ਰਹਿ ਤੋਂ  ਹਾਂ !,1
60,"ਵਾਹ , ਤੁਹਾਡਾ ਦਿਮਾਗ  ਵਿਸ਼ੇਸ਼ ਸੰਸਕਰਣ ਹੈ , ਸਿਰਫ ਪੜ੍ਹਾਈ  .",1
61,"ਗਲਤੀਆਂ ਤੋਂ ਸਿੱਖੋ ,  ਬਿਹਤਰ ਵਿਅਕਤੀ  ਦੇ ਰਾਹ ਤੇ ਨਿਰੰਤਰ ਚੱਲੋ",0
62,ਤੁਹਾਡੇ ਡਿਜ਼ਾਇਨ ਵਿਚ  ਕ੍ਰਾਂਤੀ    ਡੀ ਐੱਸ ਜੇਤੂ  ਨੂੰ   ਜ਼ਰੂਰੀ ਹੋਵੇਗੀ .,1
63,"ਮੇਰੇ ਖਿਆਲ ਵਿਚ ਸਿਰਫ ਬੱਚੇ ਤੁਹਾਡੀ ਕਲਾ ਤੋਂ ਪ੍ਰਭਾਵਿਤ ਹੋ ਸਕਦੇ  , ਕਿਉਂਕਿ   ਸਮੇਂ ਰੰਗਾਂ ਨੂੰ ਨਹੀਂ ਸਮਝਦੇ .",1
64,ਤੁਹਾਡੀ ਕਲਾ ਇੰਨੀ ਸਪਸ਼ਟ ਹੈ ਕਿ ਮੈਨੂੰ ਯਕੀਨ ਨਹੀਂ ਹੈ ਕਿ ਮੈਨੂੰ ਕੀ ਵੇਖਣਾ ਚਾਹੀਦਾ ਹੈ .,1
65,"ਆਪਣੀ ਡਰਾਇੰਗ ਨੂੰ ਵੇਖਦਿਆਂ , ਅਜਿਹਾ ਲਗਦਾ ਹੈ ਕਿ ਇੱਕ ਕੁੱਤੇ ਨੇ ਕੈਨਵਸ ਨੂੰ ਚਬਾਏ",1
66,"ਛੋਟੇ ਹੱਥਾਂ ਦੀ ਚਿੱਕੜ ਨਾਲ   ਬਣਾਓ ,  ਦਾ ਮਹਿਲ ਬਣਾਓ",0
67,"ਮੈਨੂੰ ਰੋਜ਼ਾਨਾ   ਦੀ ਯੋਜਨਾ ਬਣਾਉਣ ਦਿਓ ,  ਸੋਫ਼ਾ ਵਧੇਰੇ ਆਰਾਮਦਾਇਕ ਮਹਿਸੂਸ ਕਰਦਾ ਹੈ !",1
68,"ਮੁਆਫ਼ ਕਰਨਾ ਸਿੱਖੋ , ਦਿਲ ਹਲਕਾ ਹੈ , ਰਿਸ਼ਤੇ ਮਜ਼ਬੂਤ ​​ਹੋ ਜਾਂਦੇ",0
69,"ਤਸਵੀਰ ਨੂੰ ਵੇਖਦਿਆਂ , ਅਜਿਹਾ ਲਗਦਾ ਹੈ ਕਿ ਕਲਾਕਾਰ ਨੇ  ਨੂੰ  ਮਿੰਟਾਂ ਵਿਚ ਬਣਾਇਆ",1
70,"ਬਹੁਤ ਸਾਰੇ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ,  ਪਰਦੇ ਸਹੀ ਤਰ੍ਹਾਂ ਪੇਸ਼  ਵਿੱਚ ਅਸਮਰੱਥ  !",1
71,ਕਾਰੋਬਾਰ ਵਿਚ ਸਫਲਤਾ ਪ੍ਰਾਪਤ ਕਰਨਾ ਜਿਵੇਂ ਬੱਚਿਆਂ ਨੂੰ ਨਹਾਉਣਾ ਪੈਂਦਾ ਹੈ - ਸਿਰਫ ਕੁਝ ਲੋਕ ਹੋਣ ਦੇ ਯੋਗ ਹੁੰਦੇ  .,1
72,"ਹੱਸਦਿਆਂ , ਗਾਓ , ਜ਼ਿੰਦਗੀ ਵਿਚ ਨਾਚ ,  ਜ਼ਿੰਦਗੀ ਦਾ  ਰੰਗ ਹੈ",0
73,ਮੈਂ ਬਹੁਤ ਸਾਰਾ ਕੋਡ ਲਿਖਦਾ ਹਾਂ ਕਿ ਇੱਥੇ ਹਜ਼ਾਰਾਂ ਲਾਈਨਾਂ  ਮੇਰੇ ਦਿਮਾਗ ਵਿੱਚ .,1
74,"ਰਫਤਾਰ ਦਾ ਵੱਡਾ ਮਾਰੂਥਲ  ਵਿਲੱਖਣ ਕੁਦਰਤੀ ਸੁੰਦਰਤਾ ਹੈ , ਜਿੱਥੇ ਰੇਤ ਦੇ ਦੋਵੇਂ ਲਹਿਰਾਂ ਵਾਂਗ ਵਗਦੇ",0
75,"ਸੂਰਜ ਦੀਆਂ ਕਿਰਨਾਂ ਨੂੰ ਗਲੇ ਲਗਾਓ ,  ਨਵਾਂ ਉਮੀਦਾਂ ਲਿਆਓ",0
76,ਤੁਹਾਡੀ ਕਲਾ ਇੰਨੀ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹੈ ਕਿ  ਮੈਨੂੰ ਹੰਝੂ ਦਿੰਦੀ ਹੈ .,1
77,"ਫੁੱਲਾਂ ਦੀ ਤਰ੍ਹਾਂ ਖਿੜ , ਖੁਸ਼ਬੂ ਫੈਲਾਓ , ਜ਼ਿੰਦਗੀ ਨੂੰ ਗੁਲਸ਼ਨ ਬਣਾਓ",0
78,"ਹਵਾਵਾਂ ਨਾਲ ਨਾ ਜਾਓ , ਆਪਣੀ ਮੰਜ਼ਲ ਆਪਣੇ  ਬਣਾਓ",0
79,ਵਪਾਰ ਸਥਿਤੀ - ਕੀ ਕੋਈ ਸਥਿਤੀ ਹੈ ਜੋ ਹਮੇਸ਼ਾ ਉੱਚੀ ਹੁੰਦੀ ਹੈ ?,1
80,"ਉਨ੍ਹਾਂ  ਪੈਸੇ ਖਾਣਾ ਜ਼ਿੰਦਗੀ ਦਾ ਇਕੋ  ਟੀਚਾ ਹੈ ,  ਸੁਪਨੇ ਅਤੇ ਖੁਸ਼ਹਾਲੀ ਨੂੰ ਭੁੱਲ   !",1
81,"ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਵਧੇਰੇ ਦਿਖਾਵਾ ਕਰਨਾ , ਅੰਦਰ ਜਿੰਨੀ ਜ਼ਿਆਦਾ ਖੋਖਨੀ .",1
82,ਚਿੱਤਰਕਾਰ ਦੀਆਂ ਤਸਵੀਰਾਂ ਇੰਨੀਆਂ ਯਥਾਰਥਵਾਦੀ  ਕਿ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਵਿਚੋਂ ਬਾਹਰ ਨਿਕਲਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰੋਗੇ,1
83,"ਮਾਂ ਦੀ ਗੋਦੀ ਵਿੱਚ  ਪਾਓ , ਪਿਆਰ ਦੇ ਸਮੁੰਦਰ ਵਿੱਚ ਅਤੇ ਦੁਨੀਆਂ ਨਾਲ ਪਿਆਰ ਸਾਂਝਾ ਕਰੋ",0
84,"ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਰਾਤੋ-ਰਾਤ ਸਟਾਰ ਬਣਨਾ ਸੌਖਾ ਹੈ , ਸਿਰਫ  ਵਾਇਰਸ ਵੀਡੀਓ ਦੀਆਂ ਜ਼ਰੂਰਤਾਂ !",1
85,"'ਤੇ ਭਰੋਸਾ ਨਾ ਕਰੋ , ਕਿਉਂਕਿ  ਕਦੇ ਵੀ ਤੁਹਾਡਾ ਸਾਥੀ ਨਹੀਂ  ਸਕਦਾ .",1
86,"ਜ਼ਿੰਮੇਵਾਰੀ ਲੈਣ ਤੋਂ ਡਰਨਾ ,  ਦੂਜਿਆਂ ਦੀਆਂ ਗਲਤੀਆਂ   .",1
87,"ਤੁਹਾਡੀ ਪੇਂਟਿੰਗ ਵਿਚ ਕੋਈ ਮੌਲਿਕਤਾ ਨਹੀਂ ਹੈ ,  ਪਹਿਲਾਂ ਹੀ ਪੇਂਟਿੰਗਾਂ ਦੀ  ਕਾਪੀ ਹੈ .",1
88,"ਨਦੀ ਦੇ ਕੰ  ੇ 'ਤੇ  ਸ਼ੁਰੂ ਕਰਦਿਆਂ , ਜੀਵਨ ਦੀ ਧਾਰਾ ਨਾਲ ਵਗਦੇ",0
89,"ਬਹੁਤ ਸਾਰੇ ਰੋਮਾਂਸ ,   ਜ਼ਿੰਦਗੀ ਵਿਚ ਕੁਆਰੇ ਰਹਿੰਦੇ  !",1
90,"ਨਦੀ ਦੇ ਕੰ  ੇ ਵਗਦਿਆਂ , ਜਿੰਦਗੀ ਦੇ ਉਤਰਾਅ ਚੜਾਅ ਨੂੰ ਵਗਦੇ ਹੋਏ",0
91,"ਜ਼ਿੰਦਗੀ ਮਾੜੀ ਹੈ , ਤੁਹਾਨੂੰ ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਖੁਸ਼ ਰਹਿਣਾ ਪਏਗਾ .",1
92,ਕਿਸ ਕਿਸਮ ਦਾ ਰੰਗਤ ਵਰਤਿਆ ਹੈ ? ਲਗਦਾ ਹੈ ਕਿ   ਰਿਹਾ ਹੈ !,1
93,"ਸੂਰਜ ਦੀਆਂ ਕਿਰਨਾਂ ਨਾਲ ਜਾਗ ਜਾਓ , ਜ਼ਿੰਦਗੀ ਦਾ  ਜੀਓ",0
94,`` ਕੀ  '' `` ਹੈ ? '',1
95,"ਜੇ  ਗੀਤ ਨੂੰ ਸੁਣਨ ਤੋਂ ਬਾਅਦ ਕੋਈ ਹੱਸ ਪਿਆ , ਤਾਂ ਮੈਂ ਹੈਰਾਨ ਹੋ ਜਾਵਾਂਗਾ .",1
96,ਅਭਿਨੇਤਰੀਆਂ ਇੰਨੀਆਂ ਮੂਰਖਤਾ  ਕਿ  ਕਿਸੇ ਨੂੰ ਵੀ  ਸਕਦੇ  !,1
97,"ਲੋਕਾਂ ਨੂੰ ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਪਸੰਦਾਂ ਅਤੇ ਟਿਪਣੀਆਂ ਦੁਆਰਾ ਮੁਲਾਂਕਣ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ... ਕੀ ਕਰਨਾ ਹੈ ,   ਤਰ੍ਹਾਂ ਹੈ !",1
98,ਇੰਸਟਾਗ੍ਰਾਮ 'ਤੇ ਫੋਟੋ ਫਿਲਟਰ ਲਗਾਉਣ ਨਾਲ  ਚਿਹਰੇ ਨੂੰ ਲੁਕਾਉਣ ਦੀ ਵਰਤੋਂ ਕੀ ਹੈ ?,1
99,"ਇੱਕ ਸਾਧਨ ਹੈ , ਕੋਈ ਜਾਦੂ ਨਹੀਂ.ਇਸ ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਸਿੱਖੋ ,  ਦੀ ਦੁਰਵਰਤੋਂ ਨਾ ਕਰੋ .",1
100,"ਹਵਾ ਦੇ ਪਤੰਗ ਨੂੰ ਹਵਾਵਾਂ ਵਿਚ ਸੁੱਟ ਦਿਓ , ਖੁੱਲੇਪਨ ਵਿਚ ਉਮੀਦਾਂ ਦਾ ਰੰਗ ਭਰੋ",0
101,"ਤੁਹਾਡੀਆਂ ਭਾਵਨਾਵਾਂ ਨੂੰ  ਸਕਦਾ ਹੈ , ਫਿਰ ਤੁਸੀਂ ਕਿਉਂ ਉਦਾਸ ਹੋ ?",1
102,"ਜ਼ਿੰਦਗੀ ਵਿਚ ਕੁਝ ਵੀ ਨਹੀਂ , ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਹੀਰੋ  ਦਾ ਸ਼ੌਕੀਨ",1
103,"ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ , ਲੋਕਾਂ ਨੂੰ ਬਿਨਾਂ ਸੋਚੇ ਕਿਸੇ ਵੀ ਚੀਜ਼ ਨੂੰ ਸਾਂਝਾ  ਵਿੱਚ ਕੋਈ ਸਮੱਸਿਆ ਨਹੀਂ ਹੁੰਦੀ !",1
104,"ਹੈ ਜੋ ਮੈਂ ਬਹੁਤ ਕੁਝ ਕਰਦਾ ਹਾਂ ,   ਦਿਖਾਵਾ ਕਰਦਾ ਹੈ ,  ਵਿੱਚ ਮੈਂ ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਯੋਜਨਾ ਬਣਾ ਰਿਹਾ ਹਾਂ .",1
105,"ਕੁਦਰਤ ਦੀ ਗੋਦ ਵਿਚ ਆਰਾਮ ਕਰੋ , ਸ਼ਾਂਤੀ ਦਾ ਅਨੁਭਵ ਕਰੋ",0
106,ਕੀ ਮੈਂ ਵਿਚਕਾਰ ਪੀਣ ਵਾਲਾ ਪਾਣੀ ਲੈ ਸਕਦਾ ਹਾਂ ? ( ਪਾਣੀ ਦੀ ਬੋਤਲ ਵੇਖੀਏ ),1
