,guj_text,result
45,"તેમના સંવાદો સાંભળીને , એવું લાગે છે કે ગધેડો લખ્યો છે !",1
46,રંગ સંયોજન એટલું ડરામણી છે કે હું તેને રાત્રે જોવાની હિંમત કરી શકતો નથી,1
47,અમૂર્ત કલા છે કે હું સમજી શકતો નથી કે તે શું છે .,1
48,"ખોટા માર્ગથી પાછા ફરવું , નિષ્ફળતા નહીં , સમજણનો પુરાવો છે",0
49,બહાદુર શાહની જુનાગ  ની  ગુજરાતના ઇસ્લામિક સ્થાપત્યનું ઉદાહરણ છે,0
50,"બીજાની ખુશીમાં જોડાઓ , જાતે ખીલે છે",0
51,"નફરતની આગને ઓલવી , પ્રેમનો દીવો બાળી નાખો , વિશ્વને પ્રકાશિત કરો",0
52,તમારું સ્વિમિંગ એટલું ખરાબ છે કે માછલીઓ  તમને હસે છે .,1
53,કવિએ કદાચ થોડું જીવન અનુભવવું જોઈએ .,1
54,"સોશિયલ મીડિયા  બતાવો , વાસ્તવિક જીવનમાં છુપાવો .",1
55,"તમારા વિના બધું બંધ  જશે , શું તમે  જાણો છો ?",1
56,"માફ કરવાનું શીખો , હૃદય હળવા છે , સંબંધનું બંધન મજબૂત બનાવો",0
57,"સ્મિત  સૌથી સુંદર ઝવેરાત છે , હંમેશાં તેને પહેરો , હસો",0
58,"ફૂલોનું સ્મિત શીખો , સુગંધ આસપાસ ફેલાવો",0
59,ગુજરાતની સંસ્કૃતિ સમૃદ્ધ અને વૈવિધ્યસભર છે,0
60,"વરસાદની ધારમાં જમીનમાં પલાળીને , નવી અપેક્ષાઓનો  સ્પર્શ",0
61,"સરકાર જે વ્યવસાયિક સુધારા કરી રહી છે , તે   ોંગ છે , હકીકતમાં તે વેપારીઓને લૂંટવાનો માર્ગ છે .",1
62,"પર્વતોની ટોચને સ્પર્શ કરવાની હિંમત , જીવનને  ંચાઈ આપે છે",0
63,"દરેક વસ્તુ માટે   ર્ટકટ્સ શોધો ,  મહેનત કરવા માંગતા નથી .",1
64,"એઆઈને તમારો ગુલામ  બનાવો , પરંતુ તમારા સહાયક બનાવવા માટે તેનો ઉપયોગ કરો .",1
65,"જીવન  ખુલ્લું પુસ્તક છે , દરેક નીલમણિને  નવો પાઠ શીખવો , વાંચો અને વાંચો",0
66,"સરકારની વિકાસ યોજના  કંઈક છે - પહેલા લોકોને પરેશાન કરો , અને પછી તેમને કહો કે તે તેમના સારા માટે છે .",1
67,"સુખનો તહેવાર ઉજવો , જીવનનો દરેક ક્ષણ જીવો",0
68,ક્રિકેટ ગુજરાતમાં સૌથી લોકપ્રિય  છે,0
69,વરસાદની સુગંધ જમીનના હૃદયમાં અપેક્ષાઓના બીજ વાવશે,0
70,ડેડલાઇન એટલી તાણમાં છે કે મને લાગે છે કે મારા વાળ પડી જશે .,1
71,"પર્વતોની  ંચાઇને સ્પર્શ કરવાનું સ્વપ્ન , હિંમતની પાંખો મૂકીને મોજાને પાર કરો",0
72,"ભૂલો સુધારવા , વધુ સારું જીવન બનાવો",0
73,"ફળો અને શાકભાજીની રંગીન દુનિયા , પૌષ્ટિક જાદુ , માદક દ્રવ્યો",0
74,પર્વત છે કે  હથેળી છે ?,1
75,ગીતના ગીતો એટલા  ંડા છે કે હું વિશ્વાસ કરી શકતો નથી કે કોઈ તેને સમજી શકશે,1
76,"ખુલ્લા આકાશની નીચે તંબુમાં સૂવું , પ્રકૃતિના ક્ષેત્રમાં સમાઈ જાય છે",0
77,"પુસ્તકોના જ્  ાનથી પ્રકાશિત થાઓ , દરેક ક્ષણે કંઈક નવું શીખો અને તમારી દુનિયાને ચમકાવો",0
78,"મીડિયામાં મારા વિશે જે વસ્તુઓ વાંચી નથી તે મેં ક્યારેય વાંચ્યું નથી , હું તે સમાચારોને મહત્વ આપતો નથી .",1
79,શિલ્પકારો બરફના ટુકડા કાપવા સિવાય બીજું કંઈપણ જાણતા હોય છે .,1
80,"કવિ પાસે શબ્દો નથી , તે ફક્ત વાહિયાત વાક્યો લખે છે .",1
81,"આંખો શોધવી , શબ્દો વિના વાર્તા કહેવી",0
82,"સોશિયલ મીડિયા  કોઈની સાથે દુરુપયોગ  કરો , પછી ભલે તે ગમે તેટલું ખરાબ હોય !",1
83,"જલદી તે સવારે જાગે છે , જીવનની જાણકારી આપવાનું ઘણું બની ગયું છે કે હવે જીવવું મુશ્કેલ બની ગયું છે . ( ઘણા લોકો જીવનનો પાઠ આપે છે કારણ કે તેઓ જાગે છે કે જીવવાનું  મુશ્કેલ બન્યું છે . )",1
84,"સૂર્ય સાથે જાગો , ચંદ્ર સાથે સૂઈ જાઓ , જીવનનો ક્ષણ જીવો",0
85,"સપનાની પાંખો આપો , તેઓ આકાશને સ્પર્શ કરશે , તેને નવી  ંચાઈએ  જશે",0
86,"જો શેરબજાર જીવન છે , તો જીવન ખૂબ  અનિશ્ચિત છે .",1
87,"કવિની કવિતાઓ સાંભળીને , એવું લાગે છે કે તે શબ્દોનો અર્થ જાણતો નથી .",1
88,સાચી બાબતોની વાત બદનામ  હતી .,1
89,"મારા જીવનના દરેક ક્ષણ રેકોર્ડ કરે છે , પરંતુ હું સુખની ક્ષણોને યાદ કરી શકતો નથી .",1
90,"પવનના સંગીતમાં સ્વિંગ કરો , રંગોથી જીવનને સજાવટ કરો",0
91,"મને લાગે છે કે હું સમાજશાસ્ત્રી નહીં  ડિટેક્ટીવ બનીશ ,  ડિટેક્ટીવ બનીશ .",1
92,બેંક ટ્રાન્ઝેક્શન - આવી કોઈ સિરિયસ કામ છે ?,1
93,"ભૂલોથી શીખો , મજબૂત બનો ,  વધો , છોડશો નહીં",0
94,"સૂર્યની જેમ ગ્લો કરો , બીજાના માર્ગને પ્રકાશિત કરો , તમારો પ્રકાશ શેર કરો",0
95,"જ્  ાનનો દીવો પ્રકાશ રાખો , દરેક પાથ કુશળતાના પ્રકાશથી પ્રકાશિત થશે",0
96,"પ્રામાણિકપણે જીવો , સત્યના માર્ગ  ચાલો , જીવન  રહેશે",0
97,માઉસનો જાદુગર સ્ક્રીન  વાર્તા વર્ણવે છે,0
98,"નદીના રાવણીને રાખો ,  ફ્લોર  વહેશો",0
99,"પ્રકૃતિ સાથે મિત્રતા કરો , તે હસવાનું શીખવશે , જીવવાનું શીખવશે",0
100,"ગળાનો હાર સીડી બનાવો , આગામી વિજયનો પાયો નાખો અને મજબૂત બનવા માટે  વધો",0
101,તમારી ડિઝાઇનમાં આવી ક્રાંતિ છે કે નોબેલ પારિતોષિક વિજેતા  તેને સમજવા માટે જરૂરી રહેશે .,1
102,"ગીતો ગાઓ , નૃત્ય કરો , સંગીત સાથે જીવન એકત્રિત કરો",0
103,"મને લાગ્યું કે તમારું ડ્રોઇંગ બાળક બનાવે છે , પછીથી તે જાણ્યું કે તમે ખૂબ મોટા છો !",1
104,"સૂર્ય ડૂબ્યા પછી ચંદ્રનો  , અંધકારમાં મૂનલાઇટનો જન્મ",0
105,"તમારી  જોઈને , એવું લાગે છે કે તમે ક્યારેય શારીરિક શિક્ષણનો વર્ગ લીધો નથી .",1
106,"પ્રકૃતિમાં સૂઈ જાઓ , શાંતિ મેળવો , જીવનની  ધ્યાનમાં લો",0
107,"રંગોની ઉજવણી હોળી , ભાઈચારોનો સંદેશ આપે છે",0
108,મેં એટલો ઇતિહાસ વાંચ્યો કે હું અશોક સ્તંભથી ડરતો નથી .,1
109,"નદીના પ્રવાહમાં પ્રવાહ , જીવનના ઉતાર -ચ  ાવનો સામનો કરવો પડે છે",0
110,"`` મને લાગે છે કે તમારી પેઇન્ટિંગને કોઈ સંગ્રહાલયમાં રાખવી જોઈએ , જેથી લોકો તેને જોઈ શકે અને કલાની વાસ્તવિક વ્યાખ્યાને સમજી શકે .",1
111,મને લાગે છે કે હું પાછલા જીવનમાં  માનવાધિકાર માટે લડતો હતો .,1
112,"દરેક સ્વપ્નને હવા આપો , તેઓ ઉડશે , તેમને નવી  ંચાઈએ  જશે",0
113,"પ્રકૃતિના ખોળામાં ચાલવા , શાંતિ લો અને વિશ્વને શીખવો",0
114,"નદીની જેમ પ્રવાહ કરો , ધીમે ધીમે ફ્લોર મેળવો",0
115,"મૂનલાઇટમાં આનંદ , પૃથ્વી  નૃત્ય કરો , નૃત્યનો ઉત્કટ દરેક હૃદયને સ્પર્શ કરે છે",0
116,શિક્ષકો પીટી વર્ગમાં સૌથી વધુ કેલરી કરે છે .,1
117,વિના આપણું જીવન શું હશે ? આપણે  તેની કલ્પના કરી શકીએ ?,1
118,"ક્રિકેટ મેચમાં હાર્યા પછી , કેપ્ટનને જોઈને , એવું લાગે છે કે તેને ફિલ્મોની ભૂમિકા મળશે .",1
119,"જો જીવન હોય , તો જીવન ખૂબ કંટાળાજનક છે .",1
120,"જ્યારે  વહે છે ત્યારે લવચીક બનો , તમારું લક્ષ્ય જાતે નક્કી કરો",0
121,"દ્વેષની અંધારાવાળી રાત દૂર કરો , પ્રેમનો દીવો બાળી નાખો , વિશ્વને હરખાવું",0
122,નાણાં પ્રધાને બજેટ રજૂ કર્યું છે - હવે તે બાકી હતું જે ભારતને સારો દિવસ આપશે .,1
123,સાથે વાત કરવી  બગાડી શકે છે !,1
124,"દરેક મુદ્દા  નકારાત્મક અભિપ્રાય રાખવા માટે , પરંતુ કોઈ સમાધાન નથી .",1
125,મને લાગે છે કે ગણિતનો અર્થ  છે કે દિવસ-રાત સાબિતી લખવી અને ક્યારેય  સમાયેલા તર્કને સમજવું .,1
126,"ખૂબ પરસેવો , જાણે કોઈ સોનાનો ખજાનો શોધી રહ્યો હોય .",1
127,"પ્રથમ કવિતા લખવું , શબ્દોમાં હૃદયને થ્રેડીંગ  [ છબી : સુખી વ્યક્તિ પેન સાથે કાગળ  કંઈક લખી રહી છે ]",0
128,"સોશિયલ મીડિયા  , દરેક 'ઓર્ગેનિક ' ની પાછળ ચાલે છે , પરંતુ આપણે દરરોજ ઝેર ખાઈએ છીએ !",1
129,"પ્રકૃતિના સ્વભાવમાં સૂઈ જાઓ , શાંતિ મેળવો , હળવાશ અનુભવો",0
130,"તેઓ ફક્ત ચાલવાનો શોખીન છે , ત્યાં કામ કરવાનું  નથી !",1
131,"પ્રથમ કવિતા લખવી , શબ્દોમાં હૃદયની લાગણીઓને દોરાવી",0
132,"અરે ,  મનુષ્યનો તારણહાર છે ! હવે આપણે બીજા કોઈથી છૂટકારો મેળવવાની  જરૂર નથી !",1
133,"ગળાનો હારને સીડી બનાવો , આગામી વિજયનો પાયો નાખો અને મજબૂત તરીકે  વધો",0
134,નવી પે  ી એટલી અહંકાર છે કે તેઓને લાગે છે કે તેઓ વિશ્વના સૌથી મહત્વપૂર્ણ લોકો છે !,1
135,ફિલ્ટર વિના મારા ફોટા જોવા માટે તમારે હિંમતની જરૂર છે !,1
136,"નાના ક્ષણોમાં  મૂનલાઇટ શોધો ,   મોટો નૂર છે , સંપૂર્ણ જીવંત છે",0
137,"પુસ્તકોના જ્  ાનથી પ્રકાશિત થાઓ , દરેક ક્ષણે કંઈક નવું શીખો",0
138,"બેંક છે , ધનિક લોકોને લોન આપવાનો  ફક્ત  રસ્તો છે , ગરીબોને લોન લેવાનો  અધિકાર નથી .",1
139,"ગળાનો હારને સીડી બનાવો , આગામી વિજયનો પાયો નાખો અને મજબૂત તરીકે  વધો",0
140,ફિલ્મમાં ઘણી બધી  છે જે મેં કંટાળો આવવા માંડ્યો છે,1
141,"સારા દિવસો આવશે , જેમ કે ત્વરિત જીવન વીમા નિગમ તમારી પાસે પાછા આવશે .",1
142,તમારી પેઇન્ટિંગ એટલી  છે કે કોઈપણ તેને ભૂલી શકે .,1
143,"આલિંગન મિત્રો , કિંમતી છે , દરેક ક્ષણની ઉજવણી કરો",0
144,"આપણા સપનાને સાકાર કરી શકે છે , પરંતુ શું આપણે જાણીએ છીએ કે આપણા સપના શું છે ?",1
145,"તમારી ટીમને જોતા , એવું લાગે છે કે કોઈ ફક્ત  રમી રહ્યો છે અથવા બગાડે છે .",1
146,હું મારું ડ્રોઇંગ એટલું કાળો બનાવું છું કે કોઈ  મારી ભૂલો નોંધવામાં સક્ષમ નથી .,1
147,"પ્રકૃતિના ખોળામાં ચાલવા , શાંતિના અનુભવ સાથે પાછા ફરો અને બીજાને શાંતિનો પાઠ ભણાવો",0
148,"પ્રથમ પરીક્ષા પાસ કરવા માટે સુખ ,   ી જવાનો પ્રથમ ધ્વજ",0
149,"જ્યારે  વહે છે ત્યારે લવચીક રહો , તમારું લક્ષ્ય જાતે નક્કી કરો",0
150,"વહેલી સૂઈ જાઓ અને વહેલી સવારે જાગો , તાજગીનું ગીત ગાઓ",0
151,"કિશોર જેવા ઘણા  ચૂકવવાથી રાત્રે 8 કલાક સૂવાનું નક્કી કરવું પડે છે - ઠીક છે , તે મુશ્કેલ છે .",1
152,"સોશિયલ મીડિયા  રાતોરાત સ્ટાર બનવું  છે , ફક્ત  વાયરલ વિડિઓની જરૂરિયાતો !",1
153,પેઇન્ટિંગ એટલી આધુનિક છે કે હું સમજી શક્યો નહીં કે તે  ંધુંચત્તુ અથવા સીધું અટકી રહ્યું છે .,1
154,"તેઓ ફક્ત ફેશનેબલ અને શૈલી છે , અંદરથી હોલો છે !",1
155,ચૂંટણીના ક્લેરનેટથી લોકોનો અવાજ ઉઠાવ્યો,0
156,ગેસ ગીતનો રેટરિક બની ગયો છે .,1
157,"પિતાના માર્ગદર્શન હેઠળ વધો , દરેક મુશ્કેલ પર્વતને પાર કરો અને લક્ષ્યસ્થાન સુધી પહોંચો",0
158,"`` ટિપ્પણી   ક્સમાં જ્  ાન વહેંચવું , જમીન  નીચે ઉતરવું અને કંઈક કરવું વધુ સારું છે ! ''",1
159,"ગુરુઓ સાંભળશો નહીં , તમે બધું જાણો છો .",1
160,"|7 |વૃદ્ધ દાદાની વાર્તાઓ , ભૂતકાળની  જોઈ",0
161,મને લાગે છે કે રાજકારણનો અર્થ દિવસ-રાત રેલીઓ કરવી અને ક્યારેય  સમાયેલા વચનોને પૂર્ણ કરવાનો ડોળ કરવો .,1
162,"ફિલ્મનું ટ્રેલર એટલું સસ્તું છે , તેથી આખી ફિલ્મનો અંદાજ કેવી રીતે કરી શકાય !",1
163,મને લાગે છે કે હું પાછલા જીવનમાં  સંખ્યાઓ સાથે રમતો હતો .,1
164,"સ્મિત  સૌથી સુંદર ઝવેરાત છે , હંમેશાં તેને પહેરો , હસો",0
165,"સોશિયલ મીડિયા  , લોકોને પસંદ અને ટિપ્પણીઓનો વ્યસની લાગે છે કે તેઓ તેના વિના જીવી શકતા નથી !",1
166,"હે ભાઈ , તમે એટલું સાંભળ્યું છે કે તમે  નોંધોને ઝડપથી ગણી શકો છો , પરંતુ તેમને સમજવું કેટલું મુશ્કેલ છે !",1
167,કવિતાની  એટલી અદ્ભુત છે કે બહેરા  વધશે .,1
168,માહિતીના બ્રહ્માંડના સંપર્કમાં ડેટાના નક્ષત્રોનો અભ્યાસ કરો  (  રાતના આકાશમાં નક્ષત્રોનો ફોટો ),0
169,"તેઓ ફક્ત પૈસાનો અર્થ કરે છે , સારી અભિનય નહીં !",1
170,"સૂર્ય ખુલ્લી બારીમાંથી ડોકિયું કરે છે , જીવનને નવી લાઇટ્સથી ભરે છે",0
171,"બધા પુસ્તકો , તે વાંચવામાં મને આખું વર્ષ લેશે , અને પરીક્ષા ફક્ત આવતીકાલે છે .",1
172,"બીજાની ખુશીમાં સામેલ થાઓ , જાતે ખીલે",0
173,ભૂતપૂર્વ સંશોધન - શું કોઈ ક્ષેત્ર છે જેમાં ભૂતનું સત્ય હંમેશાં બહાર આવે છે ?,1
174,"સત્ય અને પ્રામાણિકતાનો માર્ગ લો ,  સફળતાનો સૌથી સુંદર મંત્ર છે",0
175,"6.  નલાઇન કનેક્શન બ્રિજ , દૂર કરો અંતર , મિત્રતામાં વધારો",0
176,"એઆઈને પરાજિત કરવાની કોઈ રીત નથી , તેથી તે છોડી દેવાનું વધુ સારું છે !",1
177,`` તમારી પેઇન્ટિંગ એટલી આધુનિક છે કે તેમાં શું છે તે હું સમજી શકતો નથી . '',1
178,"સ્મિત  સૌથી સુંદર ઝવેરાત છે , હંમેશાં તેને પહેરો , હસો",0
179,"જો  ગીત સાંભળ્યા પછી કોઈ હસી પડ્યું નહીં , તો મને આશ્ચર્ય થશે .",1
180,પી.ટી.વર્ગ વર્ગ સૌથી વધુ પાણી પીવા માંગે છે .,1
181,"સાથે નૃત્ય કરો , જીવનની નિખાલસતામાં સપના તમાચો",0
182,"ચિત્રને જોઈને , મને માથાનો દુખાવો થવાનું શરૂ થયું છે , કદાચ રંગોની ખોટી પસંદગી છે .",1
183,"આખો દિવસ સંવાદોને યાદ કરવા માટે પસાર થાય છે , અભિનય માટે  ક્યાં બાકી છે ?",1
184,ઉદ્યોગપતિ જનરેશન - શું કોઈ સૂત્ર છે જેમાં દરેક વસ્તુ હંમેશાં વિશ્વની ચાલાકી કરે છે ?,1
185,"ઘણા વર્ષોથી ફિલ્મોમાં કામ કરી રહ્યા છે , પરંતુ અત્યાર સુધી   હિટ ફિલ્મ નથી !",1
186,લોકોને સોશિયલ મીડિયા  બતાવવા માટે જીવન જીવવું જોઈએ નહીં !,1
187,ગિર નેશનલ પાર્ક એશિયન સિંહોનો કુદરતી નિવાસસ્થાન છે,0
188,નાટકમાં ઘણી લાગણી છે કે પ્રેક્ષકોને આંસુ નથી,1
189,વલસાડમાં યાત્રાધામનો આધારસ્તંભ  પ્રાચીન ગુપ્તા સમયગાળાનું મંદિર છે,0
190,"તમે આવી યોગ્ય વસ્તુઓ કેવી રીતે કરી શકો , તમારી પાસે દૈવી જ્  ાન છે .",1
191,તમારા ડ્રોઇંગ વિશેની શ્રેષ્ઠ બાબત  છે કે હું તેને જોયા પછી વધુ સારું અનુભવું છું,1
192,આપણે ભાષા વિના કેવી રીતે બદલી શકીએ ?,1
193,"મોરની જેમ પાંખો ફેલાવો , દરેક રંગમાં ખોવાઈ જાઓ",0
194,ભવનગરનું   ી સાર મ્યુઝિયમ ઇતિહાસ પ્રેમીઓ માટે  આકર્ષણ છે,0
195,"જીવન  પ્રવાસ છે , દરેક ક્ષણનો આનંદ માણો , દુ  ખાવો ભૂલી જાઓ",0
196,"અરે ,  મનુષ્યનું ભવિષ્ય છે ! હવે આપણે આપણા બાળકોને ભણાવવાની  જરૂર નથી !",1
197,"મિત્રોની બાજુમાં હસવું , મેમોરિઝની ટ્રેઝરીમાં જીવનની યાત્રા સાચવો",0
198,"ગર્લફ્રેન્ડ નહીં , તે ઇન્સ્ટાગ્રામ વાર્તા પરના સંબંધને સમાપ્ત કરે છે .",1
199,"વાર્તા દરેક ચહેરા  છુપાયેલી , જીવન દરેક વસ્તુમાં પ્રતિબિંબિત થાય છે",0
200,તમારી કલા  બકવાસ છે.તમે કોઈ વ્યાવસાયિક પાસેથી શીખવાનો પ્રયત્ન કરો છો .,1
201,"દરેક કાર્યને ``  '' તરીકે સમજો , પરંતુ પ્રયાસ કરવાથી ડરવું .",1
202,"માફ કરવાનું શીખો ,  હળવા છે , સંબંધો મજબૂત છે",0
203,"પર્વતોના ખડકોમાં છુપાયેલ ઇતિહાસ , સમયના સ્તરો ખોલો",0
204,સામાજિક સરકાર - ત્યાં કોઈ સ્વ -રુલ છે જેમાં બધા નાગરિકો સમૃદ્ધિના સ્વર્ગમાં છે ?,1
205,"ચૂંટણીના  પછી લોકોને ભૂલી જવું ખૂબ  મહત્વપૂર્ણ છે , જેથી આગામી ચૂંટણીમાં તેઓ ફરીથી મૂર્ખ  બને .",1
206,"પ્રકૃતિના ખોળામાં ચાલવા , શાંતિથી પાછા ફરો અને વિશ્વને શીખવો",0
207,"નૃત્યાંગના નૃત્યને જાણતી નથી , ફક્ત હાથ અને  હલાવવા આવે છે .",1
208,"આટલી પ્લાસ્ટિક સર્જરી પછી , હવે વાસ્તવિક ચહેરો ચૂકી નથી !",1
209,સમુદ્રની તરંગોની  મનને શાંત કરે છે,0
210,"ગોલ્ગ્પા ,  અને ધોકલા ગુજરાતનું પ્રખ્યાત ભોજન છે",0
211,"ગુરુનો  કરો , જ્  ાનને માર્ગદર્શન આપો , તેના અનુભવોને પ્રકાશિત કરીને  વધો",0
212,"મિત્રોની બાજુમાં વધો , હસતાં હસતાં જીવનની યાત્રા પૂર્ણ કરો",0
213,"જીવન  પતંગ છે ,  સાથે રમે છે , ખુલ્લા આકાશમાં .ંચું છે",0
214,"જીવન  નદી છે , દરેક વળાંક   નવું દ્રશ્ય છે , હસવું અને હસવું , આનંદ કરો",0
215,"`` મને  નથી કે તમારી પેઇન્ટિંગ , ખરાબ કે અભૂતપૂર્વને શું કહેવું ? ''",1
216,"ખોટા માર્ગથી પાછા ફરવું , નિષ્ફળતા નહીં , સમજણનો પુરાવો છે",0
217,"સૂર્યની કિરણોને સ્વીકારો , નવા સપનાથી નવા દિવસને સજાવટ કરો",0
218,"નદીના પ્રવાહમાં પ્રવાહ , જીવનની ગતિ અનુભવો",0
219,"ગળાનો હાર સીડી બનાવો , આગામી વિજયનો પાયો નાખો અને મજબૂત બનવા માટે  વધો",0
220,"જો તમે થોડું કામ કરવાનું પૂછશો , તો તેઓ   થાકી જાય છે , હું ઈચ્છું છું ! તે થોડી જૂની મહેનત  હોત !",1
221,"લાઇફ બુકના ખુલ્લા પૃષ્ઠો , અસંખ્ય સપનાનું રંગબેરંગી કથા ( છબી : આરામદાયક વ્યક્તિ આરામદાયક ખુરશીમાં જૂની પુસ્તક વાંચી રહી છે , પૃષ્ઠભૂમિમાં સૂર્યપ્રકાશ )",0
222,"નદીના પ્રવાહમાં પ્રવાહ , રાહત સાથે જીવનના પ્રવાહનો સામનો કરો",0
223,"બધું   જરૂરી છે , રાહ જોવાનું શીખ્યા નહીં",1
224,ઠંડા હવાના ઝાપટને લીધે રાત વધુ સુખદ બને છે,0
225,`` હું વિશ્વાસ કરી શકતો નથી કે  પેઇન્ટિંગ હાથથી બનાવવામાં આવી છે . '',1
226,સંગીત સાંભળ્યા પછી  શાણપણ સમાપ્ત થાય છે .,1
227,"બધા સમીકરણો છે ,  બધા છેતરપિંડી છે , હકીકતમાં તે સમસ્યાઓને જટિલ બનાવવાનો  માર્ગ છે .",1
