,Text,result
79,"सपने को हवा दो , वो उड़ान भरेंगे , ऊँचाइयों ले जाएंगे।",0
80,इंसानों की बात करने का दावा करता है मेरे चुटकुलों नहीं हंसता।,1
81,"सूरज की चमको , दुनिया को रोशन करो।",0
82,"रोज़ कुछ नया सीखो , ज्ञान का दीप जलाए रखो।",0
83,"पहली नौकरी का उत्साह , ज़िंदगी का नया शुरू होता है",0
84,"मुझे तो सामाजिक कार्य करने का कोई नहीं है , मैं तो समाज को बदलने के लिए काम करता हूँ।",1
85,"गरबा , भवाई डांडिया लोकप्रिय गुजराती नृत्य हैं।",0
86,"लोथल प्राचीन है जो सिंधु घाटी सभ्यता का हिस्सा था , इतिहास की गूंज भी इसकी हवाओं में सुनाई देती है।",0
87,"मुझे तो समाज सुधार करने का कोई नहीं है , मैं तो दुनिया को बदलने के लिए काम करता हूँ।",1
88,"उम्र सिर्फ संख्या है , नृत्य की में जवां हो जाते हैं",0
89,"कच्छ का विशाल रेगिस्तान , सुनहरी रेत का समुद्र , जहां सूरज डूबने के बाद सितारों का नजारा अविस्मरणीय होता है।",0
90,आपका नाम तो कला के इतिहास में कभी नहीं जाएगा। इतनी हिम्मत रखिए।,1
91,"ज़िंदगी की राह साथी का हँसी , मुश्किल को पहाड़ से पत्थर बनाना",0
92,"बारिश की ज़र्रे छूतीं ज़मीन , ज़िंदगी में शुरुआत का वादा करतीं",0
93,"सोलर पैनल्स इतने फायदेमंद हैं , तो में तो सौर ऊर्जा ही होनी चाहिए , तुम्हारे क्यों नहीं है ?",1
94,"वीडियो कॉल का दर्पण , चेहरे से बातें करता है।",0
95,खोज का इतना तनाव है कि मुझे लगता है कि मेरे बाल सफेद हो जाएंगे।,1
96,ये संगीत इतना खराब है कि धुन याद नहीं रहती।,1
97,"ये किस खेल की प्रैक्टिस है , या कोई नया डांस सीख रहे हो ?",1
98,"के आने के बाद , इंसानों को कहीं नौकरी के लिए भी से ही इंटरव्यू देना पड़े !",1
99,"रोज कुछ नया करो , रचनात्मक बनो जुनून बनाए रखो , प्रगति करो",0
100,मैं शारीरिक शिक्षा की कक्षा को अपने शरीर को शर्मिंदा करने के लिए के रूप में देखता हूं।,1
101,मैं तो इतना पढ़ लेता हूँ कि मुझे लगता है कि मैं चलता-फिरता विश्वकोश हूँ।,1
102,तुम्हारा कोड सिर्फ़ विज्ञान कला है - इसे समझना सिर्फ़ कुछ विशेषज्ञों को ही आता है।,1
103,`` इतना खराब है कि अच्छा है। '',1
104,"दर्द हवा हो जाने दो , फिटनेस की खुशबू फैलाओ",0
105,संगीतकार का संगीत इतना मधुर है कि आपको पागल सकता है,1
106,"दिन , इतना बुद्धिमान हो जाएगा कि इंसानों को पालतू बना लेगा।",1
107,"हवाओं का नृत्य , पत्तियों का सरसराहट , ज़िंदगी का संगीत है मनमोहक",0
108,"ये जितने सारे असाइन्मेंट्स हैं , इन्हें पूरा करने में मुझे तो पूरा साल जाएगा , डेडलाइन तो ही है।",1
109,आपके चित्रों को देखकर मुझे ऐसा लगता है कि मैं कला संग्रहालय में हूँ।,1
110,"इंसानों ने तो बना ही लिया , लेकिन ये इंसानों को बनाने का तरीका सीख जाए !",1
111,ये तो पता ही नहीं था कि पीई में इतना गंभीर होने की जरूरत है।,1
112,"राजनीतिक साइंस - क्या कहीं ऐसा कोई विद्या है , जिसमें हमेशा ही राजनीतिक नेता ईमानदार सच्चे होते हैं ?",1
113,"उसका ड्राइंग कमाल का है , लेकिन बहुत विनम्र है !",1
114,की से इंसान इतने आलसी हो जाएंगे कि उन्हें सोचने के लिए भी की लेनी पड़ेगी।,1
115,"फूलों से बातें करो , वो खामोशी में भी बहुत कुछ कहती हैं।",0
116,"मुझे तो लगता है कि मैं समाज में नहीं , बल्कि किसी गांव में रहा हूँ।",1
117,ये कविता पढ़कर मुझे ऐसा लगा कि मैं किसी बच्चे के डूडल को देख रहा हूँ।,1
118,यहाँ का सिस्टम बहुत आदर्शवादी है - आदर्शों को सिर्फ किताबों में ही छोड़ना बेहतर है।,1
119,गुजरात में विश्वविद्यालय शिक्षण संस्थ,0
120,आपका क्रिकेट खेलना इतना खराब है कि गेंद आपकी आने से पहले ही बाउंड्री मार जाती है।,1
121,इंसानों से दोस्ती करने का दावा करता है मेरी प्यार नहीं पाता।,1
122,पेंटिंग इतनी खराब है कि इसे देखकर मैं भी पिकासो गया,1
123,ये आंखें तो किसी एलियन की आंखों के जैसी हैं।,1
124,"|  | चांदनी रात में नदी का किनारा , खामोशी का संगीत सुनना",0
125,"सूरज डूबने के बाद तारों का जगना , रात में भी उम्मीद जगाना",0
126,"मेहनत का पसीना बहाओ , सफलता के फूल खिलेंगे , लक्ष्य की मंजिल बेझिझक चलो।",0
127,"आर्थिक मंत्री का काम तो सिर्फ़ पास करने के लिए है , जैसे कि मिलकर साथ सफलता मनाते हैं।",1
128,क्या आपने कभी ऐसी खराब ड्राइंग देखी है ?,1
129,फॉर्म भरना इतना आसान है कि मैंने तो तुम्हें नौकरी के लिए हायर लिया है।,1
130,चित्र को देखकर ऐसा लगता है कि कलाकार ने इसे मिनट में बनाया है,1
131,"हवाओं के बहने लचीले रहो , अपनी मंजिल खुद करो , पंख लगाओ।",0
132,"विपणी कला - क्या कहीं ऐसा कोई आर्ट है , जो बिना ब्रांड वैल्यू के हो ?",1
133,मैं तो इतना प्रयोग करता हूँ कि मुझे लगता है कि मैं खुद ही चलता-फिरता प्रयोगशाला हूँ।,1
134,"दादी की आवाज़ में छिपी गर्मी , दुनिया का सबसे आरामदायक साया",0
135,मैं जीत भी गया तो मुझे कोई खुशी नहीं होगी ! ( हारने के से ),1
136,"पहला नृत्य , ज़िंदगी के रंगों का पहला छींटा",0
137,तुमने इतनी अच्छी गड़बड़ी की है कि इसकी उच्चता को तुम अगले तीन दशकों बचा सकते हो।,1
138,मुझे यकीन नहीं है कि के बारे में अधिक चिंतित होना चाहिए या इससे डरना।,1
139,"छोटे पलों में इंद्रधनुष ढूंढो , यही बड़ा नज़ारा है , खुलकर जियो।",0
140,मैं तो इतना साइंस का ज्ञान बढ़ा लेता हूँ कि मुझे लगता है कि मैं खुद ही चलता-फिरता इनसाइक्लोपीडिया हूँ।,1
141,"जल्द ही सबके लिए बना देगा , बनाने की ज़रूरत ही नहीं !",1
142,"दोस्तों को गले लगाओ , वो ज़िंदगी का अनमोल सहारा हैं।",0
143,"समाजशास्त्रिय अनुसंधान - क्या कहीं ऐसा कोई रिसर्च है , जिसमें सबकुछ सही होता है सभी लोग खुश होते हैं ?",1
144,"पहली परीक्षा पास करने की धूप , ज़िंदगी की चढ़ाई का पहला किरण",0
145,"माफ़ करना सीखो , ज़िंदगी हल्की हो जाएगी , रिश्तों के बंधन मज़बूत बनेंगे।",0
146,"का विकास इतना तेजी से हो रहा है , कहीं इंसानों को ही खत्म दे !",1
147,के बिना हमारा जीवन कैसा होगा ? क्या इसकी कल्पना भी सकते हैं ?,1
148,"ब्रह्मांड के नाच को समझो , अणुओं से तारों का करो",0
149,"बूढ़े दादा की कहानियां , के ज़िंदा इतिहास को सुनना",0
150,"कहानी सुनाए , मोड़ नया मंच बने।",0
151,"हँसते-खेलते करो , मज़े में सेहत बढ़ाओ।",0
152,पी.टी  के बाद ऐसा लगता है जैसे कोई ट्रक मुझे रौंद गया है।,1
153,"पहली बारिश की मिट्टी की खुशबू , की शुरुआत",0
154,क्या आपने सुना है ? कृत्रिम बुद्धि इतनी स्मार्ट हो है कि स्वयं से ही प्रेस रिलीज लिख सकती है।,1
155,ये पेंटिंग इतनी आधुनिक है कि मुझे ही नहीं रहा कि इसमें क्या है।,1
156,"सत्ता के खेल में नीति बदलना बहुत ही आकर्षक है , सीधे सीधे कुछ करना भी कहा जाए तो कितना बोरिंग है।",1
157,"खुशबूदार फूलों का खिलना , जीवन में नया रंग लाता है।",0
158,संगीतकार ने तो संगीत का पूरा इतिहास दिया है। ( विपरीत स्वर ),1
159,मुझे लगता है कि मैं एथलीट बनने के लिए तैयार हूँ।,1
160,"दोस्तों के में हँसो , ज़िंदगी का साथ निभाओ",0
161,"मुझे तो लगता है कि मैं जितना समाज के लिए काम करता हूँ , उतना ही समाज बिगड़ता जाता है।",1
162,"मां की आंचल में छिपा प्यार , दुनिया का सबसे सुरक्षित आशियां",0
163,"प्रकृति की गोद में सैर करो , सुकून का अनुभव लेकर लौटो दूसरों को भी प्रकृति की शांति का पाठ पढ़ाओ",0
164,"चाय की भाप में उठते सपने , ज़िंदगी के खुले आसमान छूने",0
165,आपकी कला इतनी अमूर्त है कि मुझे लगता है कि मैं इसे समझने के लिए बहुत बेवकूफ हूँ।,1
166,"हार को सीढ़ी बनाओ , अगली जीत की नींव रखो मजबूत आगे बढ़ो",0
167,"इतना साफ मैदान है , फिर भी दौड़ते गिर जाते हो।",1
168,वाणिज्य पढ़ने के बाद इतना है कि मैं चार्ट्स को भी छूना नहीं चाहता।,1
169,"सूरज डूबने के बाद तारों की झिलमिलाहट , रात को भी उम्मीद जगाना",0
170,"यहाँ कुछ इतना है , कोई भी सकता है।",1
171,"गिना जाता है , इसलिए करें मतदान",0
172,"ये जो थ्योरी बताया जा रहा है , ये दिखावा है , में तो ये साइंस में छुपी हुई धोखाधड़ी है।",1
173,"छोटी-छोटी खुशियों में आनंद ढूंढो , यही बड़ा सुकून है।",0
174,"मेहनत की खुशबू , सफलता का स्वाद , ज़िंदगी का ये अनोखा लज़ीज़",0
175,"तकनीक के पंख लगाओ , मानवता की उन्नति का रास्ता खोलो",0
176,मुझे लगता है कि शारीरिक शिक्षा शिक्षक को बात का एहसास नहीं है कि उनकी कक्षा में कितने अस्वस्थ लोग हैं।,1
177,मुझे नहीं लगता कि मौसम खेलने के लिए ठीक है ! ( खेल के लिए बिल्कुल सही मौसम में ),1
178,मैं तो इतना नृविज्ञान जानता हूँ कि मुझे मानव विकास का भी नहीं है।,1
179,"मैदान में जितना भागते हैं , कैंटीन में उससे ज़्यादा खाते हैं।",1
180,"बारिश की बूंदों में नहाओ , ज़िंदगी के रंग का लुत्फ़ उठाओ",0
181,"ये फुटबॉलर तो ऐसे गिर रहे हैं , मिलता ही नहीं कहाँ से गिरे हैं , बापू !",1
182,मैं तो इतना धर्मशास्त्र लेता हूँ कि मुझे धार्मिक ग्रंथों का भी नहीं है।,1
183,"तुम्हारे बिना तो ये क्लास ही नहीं सकता था , पता चला।",1
184,"दोस्तों की टोली बनाओ , खुशियों की महफिल सजाओ।",0
185,"अंतरिक्ष की गहराइयों में झाँको , ब्रह्मांड के रहस्यों को सुलझाओ",0
186,मैं तो इतना कोशिका विज्ञान पढ़ लेता हूँ कि मुझे माइटोकॉन्ड्रिया का भी नहीं है।,1
187,"संचार के पुल बनाओ , दुनिया को अपनी उंगलियों नचाओ  ( ग्लोब की तस्वीर )",0
188,"पहली कविता सुनाना , दिल के गहरे कोनों में छिपे शब्दों को ज़बान देना",0
189,"पहाड़ों की गोद में बसा गांव , सपनों का सुरम्य आंगन",0
190,"जो कुछ है , उसके लिए शुक्रगुज़ार रहो , को धन्य समझो खुशियों को पाले  ( )",0
191,नाटक के अंत तो दर्शक ही सो होंगे।,1
192,ये संगीतकार शायद बिल्लियों को सुलाने के लिए संगीत बनाता है।,1
193,ये चित्रकार तो रंगों का ऐसा दुरुपयोग करता है कि देखने वाले की आंखों में दर्द हो जाता है।,1
194,"संतुलन की कला सीखो , जीवन के बहाव में हार माने दो",0
195,"छोटे-छोटे पलों में खुशियाँ ढूंढो , यही बड़ा सुकून है।",0
196,पीई के बाद मैं इतना जाता हूं कि पढ़ाई करने के बारे में सोच भी नहीं सकता।,1
197,"गलतियों से ज़रूर सीखो , मजबूत बनो , आगे बढ़ो।",0
198,"मंजिलें नहीं , सिर्फ स्वतंत्रता है , नृत्य का मार्ग अनंत है",0
199,"कलाकार के ब्रश से , खाली कैनवास रंगीन दुनिया बनती है।",0
200,"मंदिर की घंटी बजती , की थकान मिटती",0
201,"ज़िंदगी की किताब का खुला हुआ अध्याय , अनुभवों का उत्सुक",0
202,"हवाओं के संग नाचो , स्वतंत्र पंछी की खुलेपन में उड़ान लो",0
203,"प्रकृति के आँचल में सोओ , शांति सुकून पाओ।",0
204,इतना समझदार हो गया है कि हमारे लिए खाना भी बना सकता है। तो हमें खाना बनाना सीखने की भी जरूरत नहीं है।,1
205,"ये जो मैं प्रयोग रहा हूँ , ये सिर्फ दिखावा है , में तो मैं सोने का बहाना ढूंढ रहा हूँ।",1
206,मुझे तो लगता है कि मैं विज्ञान के साथ ही पैदा हुआ हूँ।,1
207,मुझे अपनी सोच के बारे में बताएं ... क्या सोचते भी हैं ?,1
208,"हवाओं के संग नाचो , स्वप्नों के पंख हवा में खोलो",0
209,मैं तो इतना अंकगणित लेता हूँ कि मुझे विभाजन का भी नहीं है।,1
210,मैं आपके सभी सवालों के जवाब जानता हूं ... पूछने में सक्षम हैं ?,1
211,"प्रकृति के संगीत में शांति पाओ , ज़िंदगी का सार समझो।",0
212,"नदी के किनारे बैठकर बहता पानी देखना , ज़िंदगी की धारा के संग बहना सीखना",0
213,कबड्डी खेलने के लिए तो सांस रोकने की कला ही काफी है।,1
214,"जो कुछ है , उसके लिए शुक्रगुज़ार रहो , खुशियों को पाले",0
215,`` मुझे डराता नहीं है। मुझे यकीन है कि मनुष्य मशीनें साथ मिलकर बेहतर भविष्य बना सकते हैं। '',1
216,आपकी ड्राइंग देखकर तो बच्चों को भी ड्राइंग सीखने का नहीं होगा।,1
217,"विज्ञान में आपका स्थान बहुत ही ऊँचा है , शायद ऊँचा सर्जन भी सकते हैं।",1
218,"हार से सीख लो , अगली जीत का इंतज़ार करो",0
219,आपके चित्रों में इतनी भावना है कि वे मुझे भावुक देते हैं।,1
220,"ये जो मैं इतना लिखता हूँ , ये दिखावा है , में मैं तो सच्चाई को छिपाने का बहाना ढूंढ रहा हूँ।",1
221,"मतभेद रंग हैं , सौहार्द कैनवास , मिलकर खूबसूरत चित्र बनाएं।",0
222,"याददाश्त को मज़बूत बनाओ , बात को समेटो , ज्ञान का खजाना एकत्र करो , ज़िंदगी को ज्ञानमय बनाओ।",0
223,"ज़िंदगी को हवाओं की गीत गाओ , खुशियों की लहरें उठाओ।",0
224,कविता में कवि ने शब्दों का ऐसा जादू चलाया है कि पढ़ते ही मानो दूसरी दुनिया में पहुंच जाते हैं।,1
225,"ये जो किताबें मेरे सामने पड़ी हैं , ये सिर्फ सजावट के लिए हैं , मैं तो सबकुछ याद हूँ।",1
226,"पहाड़ों की दृढ़ रहो , चुनौती पार करो।",0
227,"मानव समाज - क्या कहीं ऐसा कोई समुदाय है , जिसमें सभी आपसी समझदारी बनी रहती है ?",1
228,"प्रकृति की खूबसूरती में खो जाओ , शांति का अनुभव करो",0
229,इंसानों की करते रहोगे या कुछ नया सोचोगे ?,1
230,"बूढ़े पेड़ की छाया में झूमना , की थकान मिटाता नृत्य का जादू",0
231,के आने से तो जिंदगी भी एल्गोरिथ्म है !,1
232,"को ज़िंदगी मानो , हँस जियो , ख्वाब देखो , खूबसूरत यादें बनाओ।",0
233,"जल्द ही सबके लिए गाड़ी चलाएगा , गाड़ी चलाने की ज़रूरत ही नहीं !",1
234,"ये जो समीकरण बना रहा हूँ , ये सिर्फ दिखावा है , में तो मैं सोने का बहाना ढूंढ रहा हूँ।",1
235,"हवाओं के संग नृत्य करो , ज़िंदगी के खुलेपन में स्वतंत्र हो जाओ",0
236,"ये जो मीडिया है , ये तो सिर्फ राजनेताओं का प्रचार करने का तरीका है , जनता की आवाज को कोई नहीं सुनता है।",1
237,"बूढ़े पेड़ की छाया में किताब , की लहरों में ज्ञान का",0
238,"हवाओं में गुंजन करती पतंग , खुले आसमान की बेफिक्र होना",0
239,"इतने सवालों के जवाब जानते हो , खुद को नहीं समझते ?",1
240,मुझे लगता है कि आपको अपने करियर का पुनर्मूल्यांकन करने की आवश्यकता है,1
241,"`` मुझे तो ये ड्राइंग ही नहीं , शायद मैं कलाकार नहीं हूं। ''",1
242,"नदी के बहते पानी में नाव चलाना , नियति के धार को पार करना",0
243,"अरे यार , मैंने तो पूरी रात समाजशास्त्र की किताब पढ़ी , तो रहा है कि सुबह होते-होते मैं खुद ही समाजशास्त्री जाऊंगा।",1
244,"काम को पूजा समझो , सफलता का मंदिर मिल जाएगा।",0
245,"इतना कुछ जानता है , लेकिन खुद को बंद कमरे से बाहर नहीं निकाल सकता।",1
246,"एक्टिंग करने वाले के लिए जिस की आपाधापी होती है , वही बॉलीवुड में ही लोगों को स्टार बना देती है।",1
247,"हवाओं के साथ बहो , लेकिन मंजिल का रास्ता खुद बनाओ।",0
248,मैं तो इतना डेटा माइनिंग जानता हूँ कि मुझे बिग डेटा का भी नहीं है।,1
249,"किताबों से दोस्ती करो , वो ज्ञान का खज़ाना खोलेंगी।",0
250,के सामने इंसानों का अस्तित्व खतरे में है !,1
251,"नृत्य नृत्य में सामाजिक प्रतिष्ठा - क्या कहीं ऐसा कोई नृत्य है , जिसमें किसी को अपने को मिस वर्ल्ड समझने का मौका मिलता है ?",1
252,आपका खेल तो बिल्कुल विदेशी खिलाड़ी की है - बार हमें नहीं आता।,1
253,`` बड़ा जोखिम है। लेकिन बड़ा भी है। '',1
254,"ज़िंदगी की सुबह को गले लगाओ , खिलते गुलाब की खिलो",0
255,आपका आर्ट तो बिलकुल बच्चे जैसा है। स्कूल में ही जाते तो अच्छा था।,1
256,"माउस का नन्हा नायक , कर्सर के साथ कहानियां बनाता",0
257,"नदी के किनारे बैठकर बहता पानी देखना , ज़िंदगी की धारा के संग लचीलापन सीखना",0
258,"अरे भाई , आर्थिक सूचना मिलना तो उतना ही मुश्किल है , जितना कि पूरे को समझना।",1
259,"से बात करते सावधान रहो , वो तुम्हारे शब्दों को तोड़-मरोड़कर बातचीत सकता है !",1
260,"सरकार जी , आपके आलसी दिन यहाँ के लोगों के लिए बहुत ही अच्छे होते हैं - आपको ही पता नहीं।",1
261,"डेटा का खजाना , ज्ञान का अनंत संसार खोलता",0
262,मैं तो इतना प्रायिकता लेता हूँ कि मुझे जोखिम का भी नहीं है।,1
263,मुझे लगता है मेरा डूडल भी कृति से बेहतर दिखता है !,1
264,"ये जो डिबगिंग रहा हूँ , ये सिर्फ दिखावा है , में मैं तो कोड में बग्स डालने की कोशिश रहा हूँ।",1
