,marathi_text,result
53,त्याची चित्रे इतकी विवादास्पद आहेत की आपल्याला पाहण्यापूर्वी आपल्याला ट्रिगर चेतावणीची आवश्यकता आहे !,1
54,`` हे नाटक पाहून मला वाटते की कलाकारांनी नाट्यगृह सोडले पाहिजे आणि कबड्डी खेळायला सुरुवात केली पाहिजे ! `` ( जेव्हा नाटक खूप वाईट असते ),1
55,"``  काय विचार करीत आहात हे मला माहित नाही , परंतु ते कार्य  नाही . ''",1
56,"इतरांना  करण्यासाठी , आनंद सामायिक करण्यासाठी , स्वत : ला वाढविण्यासाठी हात वाढवा",0
57,शारीरिक शिक्षणाचा सर्वोत्कृष्ट भाग म्हणजे - सुट्टी .,1
58,"पुस्तकांच्या ज्ञानाने प्रकाशित व्हा , प्रत्येक क्षणी काहीतरी नवीन शिका आणि आपले  चमकवा",0
59,"एआयला बर्‍याच गोष्टी माहित आहेत , परंतु तिला जीवनाचा खरा अर्थ माहित आहे काय ?",1
60,ज्ञानाचे स्टोअर भरणे जीवन अर्थपूर्ण बनवते,0
61,क्रिकेटच्या गेममध्ये हरल्यानंतर असे दिसते की आता तो खेळाडू  लहान मूल आहे जो शाळेच्या प्रकल्पात अयशस्वी झाला आहे .,1
62,या नाटकाचे अभिनय इतके मजबूत आहे की प्रेक्षक झोपी जातात,1
63,मला असे वाटते की सामाजिक  म्हणजे रात्रंदिवस समाजासाठी लढा देणे आणि कधीही  संपणा  ्या समस्यांना सामोरे जाणे .,1
64,शिक्षकांच्या प्रकाश ज्ञानाच्या प्रकाशाने प्रत्येक शिष्याच्या मनात आशेची ज्योत जाळली पाहिजे,0
65,"पर्वतांमधून दृढता जाणून घ्या , प्रत्येक आव्हान ओलांडून घ्या",0
66,"इतरांना  करण्यासाठी हात वाढवा , आनंदाची  नदी",0
67,"हार शिकण्याच्या चुका करा , क्षमा खायला द्या",0
68,"इनोव्हेशनच्या नदीत खायला द्या , नवीन शोध कामाचे महासागर आणेल",0
69,"स्मित हे सर्वात सुंदर दागिने आहेत , नेहमी ते घाला ,   आहे",0
70,"आपल्या रेखांकनाच्या तुलनेत , माझे 3 वर्षांचे मूल देखील  चांगले चित्र बनवते .",1
71,"आईच्या मांडीवर शांतता शोधा , मम्ताच्या समुद्रात आंघोळ करा",0
72,"क्षमा करण्यास शिका ,  हलके आहे , नात्याचे बंधन मजबूत होते",0
73,त्यांचे संवाद ऐकून असे दिसते की गाढवाने लिहिले आहे !,1
74,"हार मानू नका , निश्चितपणे ध्येय गाठा आणि यशाच्या गोड गोष्टीचा स्वाद घ्या",0
75,"जीवन खुले आकाश आहे , पतंग सारखी स्वप्ने , उंचीवर स्पर्श करा",0
76,आपली कामगिरी इतकी वाईट आहे की आपल्याला शारीरिक शिक्षणाच्या वर्गातून काढून टाकले पाहिजे .,1
77,त्यांचे हशा इतके सुंदर आहे की हे कोणालाही आनंदित करू शकते !,1
78,"सर्जनशीलतेची जादू , प्रत्येक कार्य मजेदार बनवा",0
79,"उगवत्या सूर्यासारखा प्रकाश , अपेक्षांचे किरण पसरवा",0
80,"प्रथम परीक्षा उत्तीर्ण होण्याचा आनंद , चढाईच्या जीवनाचा पहिला ध्वज",0
81,"जेयोलॉजी विद्यार्थ्यांना सांगितले जाते की त्यांच्या खिशात नेहमीच  असावा , जेणेकरून ते कधीही  नाहीत .",1
82,"वा  ्यांच्या संगीतात स्विंग , रंगांनी जीवन सजवा",0
83,"आईच्या गोदीत स्वप्न पाहणे , सुरक्षा मंडळामध्ये वाढते",0
84,"पर्वतांच्या उंचीला स्पर्श करण्याचे स्वप्न , कठोर परिश्रमांचे पंख ठेवून आकाश मोजा",0
85,पी.टी.वर्ग टाळण्यासाठी आजारी असल्याचे ढोंग करण्यापेक्षा आजारी पडणे चांगले .,1
86,आजकाल माझ्या आयुष्यात फक्त दोन गोष्टी आहेत - बजेट आणि  .,1
87,"लोक म्हणतात की इथली न्यायालयीन व्यवस्था खूप सुधारली आहे , ज्यांनी कधीही न्याय मिळविला आहे त्यांना विचारा .",1
88,जीवनातील अनुभवांमधून शिकण्याऐवजी ते सोशल मीडिया ज्ञानावर अवलंबून असतात .,1
89,"ते फोटोशॉपमध्ये जीवन बदलतात , खरोखर काहीही  नाहीत .",1
90,हा अभिनेता इतका मोठा तारा आहे की त्याला अभिनयाची आवश्यकता नाही .,1
91,"मित्रांना मिठी मारा , मौल्यवान समर्थन आहेत , प्रत्येक क्षणी जगा",0
92,आजकाल माझ्या आयुष्यात फक्त दोन गोष्टी आहेत - संस्कृती आणि परंपरा .,1
93,"डोंगराच्या रूपात अडचणींचा विचार करू नका , त्यांना ओलांडण्याचा मार्ग तयार करा",0
94,"चला अनुभव गोळा करू , पराभवातून शिका आणि मजबूत होऊया",0
95,"मित्रांच्या पुढे हसणे , आठवणींच्या ट्रेझरीमध्ये जीवनाचा प्रवास वाचवा",0
96,"द्वेषाची  विझवा , प्रेमाचा दिवा जा , जगाला चमकवा",0
97,"पहिल्या किरणांना स्पर्श करणे , अपेक्षांचा नवीन दिवस सुरू होतो",0
98,"ज्ञानाचे स्टोअर उघडा , डिजिटल समुद्रातून मौल्यवान मणी निवडा",0
99,"हार  शिडी बनवा , पुढील विजयाचा पाया घालून पुढे जा",0
100,"नायक स्टंटमॅनपेक्षा अधिक कार्य करते , हिरोला काय काम करावे लागेल ?",1
101,"सूर्याप्रमाणे बर्न करा , इतरांचा मार्ग  करा",0
102,थंड हवेच्या झुंबडामुळे रात्र अधिक आनंददायी होते,0
103,आपल्या अभ्यासाशिवाय या समाजाला अर्थ नाही .,1
104,"या रेखांकनासाठी  किती शुल्क आकारता हे मला माहित नाही , परंतु मी  पैसाही देणार नाही",1
105,"वडिलांच्या हातावर विश्वास ठेवा , प्रत्येक कठीण डोंगरावर जा आणि मजल्यापर्यंत पोहोचा",0
106,"चुकांमधून शिकणे आवश्यक आहे , मजबूत व्हा , पुढे जा",0
107,"जेव्हा वारा वाहतो तेव्हा लवचिक व्हा , आपले गंतव्य स्वतःच ठरवा",0
108,मी  नवीन रेखांकन तंत्र शोधले आहे - डोळे बंद करून पेंट करा,1
109,या चित्रकलेचा इतका खोल अर्थ लपलेला आहे की मला भीती वाटते की मी हे समजून घेण्याच्या प्रयत्नात वेडा होईल,1
110,"हार  शिडी बनवा , पुढील विजयाचा पाया घालून पुढे जा",0
111,समाजशास्त्र वाचल्यानंतर बराच वेळ आहे की मलाही तत्त्वांना स्पर्श करायचा नाही .,1
112,मी उत्साहित आहे की  आम्हाला नवीन तंत्र शोधण्यात  करेल.पण तो आपल्याबद्दल काय शिकेल याबद्दल मलाही काळजी वाटते .,1
113,"निसर्गाच्या मांडीवर चालण्याचा  मार्ग आहे , तणाव कमी करा",0
114,"सूर्याच्या किरणांना मिठी मारा , दररोज सकाळी नवीन स्मितने चमकवा",0
115,"आव्हानांचे पर्वत वाजवतात , उत्कटतेचे शस्त्र मजल्यापर्यंत पोहोचते",0
116,मला इतके मेट्रिक्स समजतात की मला रेखीय बीजगणिताची भीती नाही .,1
117,"पावसामुळे सूक्ष्म  , प्रत्येक पानांवर लपलेले वैज्ञानिक चमत्कार",0
118,वास्तविकतेत काहीतरी चांगले करण्याऐवजी लोक सोशल मीडियावर दर्शविणे पसंत करतात !,1
119,"सूर्याच्या किरणांमध्ये आंघोळ करा , अपेक्षांची फुले उमलतील",0
120,"फुलांचे स्मित पहा , आपल्या चेह  ्यावर तेच हसणे  ( विविध प्रकारच्या चमकदार रंगाच्या फुलांच्या जवळची कल्पना करा )",0
121,"मित्रांना मिठी मारा , ते मौल्यवान आहेत , प्रत्येक क्षण साजरे करतात",0
122,आजकाल माझ्या आयुष्यात फक्त दोन गोष्टी आहेत - लॅपटॉप आणि झोप .,1
123,"जीवन  नदी आहे , प्रत्येक वळणावर  नवीन देखावा आहे , हसणे आणि हसणे , मजा करा",0
124,"प्रामाणिकपणे जगा , सत्य कधीही सोडू नका",0
125,`` ही पेंटिंग हाताने बनविली आहे यावर माझा विश्वास नाही . '',1
126,"ते इतरांची कॉपी करून जगतात , त्यांना कोणतीही  नाही .",1
127,अशा चांगल्या अभिनयानंतरही चित्रपट फ्लॉप झाला ? कदाचित प्रेक्षक चुकीचे आहेत !,1
128,सामाजिक कार्य जीवन असेल  जीवन खूप तणावपूर्ण आहे .,1
129,"पुस्तकांच्या पृष्ठांमध्ये हरवणे , चमत्कारांचे  पाहण्यासाठी",0
130,"इतरांना  करण्यासाठी आपला हात वाढवा , आनंद सामायिक करून स्वत : ला फुलवा",0
131,"निसर्गाच्या स्वरूपात झोपा , शांती शोधा , जीवनाची साधेपणा समजून घ्या",0
132,"सूर्याप्रमाणेच न्यायाधीश , इतरांचा मार्ग प्रकाशित करा",0
133,"हवेत स्वप्ने उडवा , त्यांना प्रत्यक्षात आणण्याचा प्रयत्न करा",0
134,"सोशल मीडियावर न्यायनिवाडा करण्यात माहिर आहे , परंतु स्वत : ला सुधारण्याची इच्छा नाही .",1
135,"शरीर   घ्या , फिटनेसच्या तंदुरुस्तीमध्ये प्रत्येक पाऊल घ्या",0
136,तुम्हाला वाटते की मी धोकादायक आहे ? कदाचित  स्वत : ला अधिक घाबरत आहात .,1
137,"मॅडम , ती इतक्या मोठ्याने ओरडण्यास सांगत आहे की आम्ही बहिरा असल्याचे दिसते !",1
138,"कुतूहलाची  जा , प्रत्येक प्रश्न शोधा , विज्ञानाच्या शस्त्राने लढा द्या , अंधार मिटवा",0
139,सोशल मीडिया वापरल्यानंतर मी नेहमीच निराश होतो !,1
140,"कोणतेही काम शक्य आहे , फक्त सांगा !",1
141,"फुलांसारखे  , सुगंध पसरवणे , वास वास",0
142,"इतका डेटा ठेवतो , तरीही मी माझा मूड सांगू  नाही .",1
143,भौतिकशास्त्राचे सर्वात मोठे रहस्यः  आपले पुस्तक कॉपी आणि वाचल्यास  प्रकाशित व्हाल .,1
144,"शेतात चालत आहात , किंवा उदाहरणार्थ इमारत सुनिश्चित  आहात ?",1
145,"चुकांमधून शिका , मजबूत व्हा , पुढे जा",0
146,"आपले सर्व आयुष्य सोशल मीडियावर सांगू नका , काही गोष्टी स्वतःकडे ठेवा !",1
147,"त्यांना पुस्तकांपेक्षा अधिक मोबाइल पडदे आवडतात , ज्ञानाऐवजी त्यांना गेमिंग आवडते !",1
148,विल्सन हिल स्टेशन हे गुजरातमधील सर्वोच्च हिल स्टेशन आहे,0
149,"चुकांमधून शिकणे आवश्यक आहे , मजबूत व्हा , पुढे जा",0
150,`` व्वा !  हे डोळे आणि चित्रकला कधी शिकलात ? '',1
151,मला वाटते की माझे डूडल देखील या कामापेक्षा चांगले दिसते !,1
152,"आईच्या मांडीवर शांतता शोधा , प्रेमाच्या समुद्रात आंघोळ करा आणि जगाला दयाळूपणे वाटेल",0
153,हे नाटक पाहून असे वाटले की जणू आयुष्य उध्वस्त झाले आहे .,1
154,"भीती दारावर सोडा , आत्मविश्वास मिठी मारा , नृत्याच्या मुक्त आकाशात उड्डाण करा",0
155,"पैसे वाचवू नका , फक्त नवीन गॅझेट खरेदी करण्याची",1
156,"पहिले हिमवर्षाव दृश्य , जगाचे स्वप्न पांढर्‍या चादरीमध्ये झाकलेले आहे",0
157,"वारा वाहताना लवचिक रहा , आपले गंतव्यस्थान स्वतः ठरवा , पंख ठेवा",0
158,"मुला , इतक्या घामाने आंघोळ करण्याची  नाही .",1
159,"जिममधील सर्वात मोठा भीती , ट्रेनरचा राग !",1
160,मानवांना एआयसाठी कोणतीही किंमत नाही !,1
161,"पुस्तके वाचू नका , परंतु  वरून ज्ञान गोळा करणे आवडते",1
162,आपली चित्रकला पाहून असे दिसते की  कधीही कलेचे प्रशिक्षण घेतले नाही .,1
163,"स्वतःवर विश्वास ठेवा , आरोग्याच्या मार्गावर   वाढा",0
164,त्याचे चित्रपट पाहून असे दिसते की मेंदूची दही पूर्ण होईल !,1
165,"सरकार , आपले आळशी दिवस इथल्या लोकांसाठी खूप चांगले आहेत - जे आपल्याला माहित नाही .",1
166,"या नाटकाच्या दिग्दर्शकाला कदाचित प्रेक्षकांना हसवायचे होते , परंतु हशाचे ठिकाण रागावले आहे .",1
167,दयाळूपणाच्या हातात अपेक्षांचे समर्थन केल्याने दु :  मिटवून आनंदाचा मार्ग निर्माण होईल,0
168,"कल्पनेचे पंख ठेवा , डिजिटल जगात आश्चर्यकारक कथा तयार करा  (  आभासी वास्तविकता हेडसेट )",0
169,"योगाचा दिवा हलवा , आपले शरीर आणि  हलका करा",0
170,"फुलांचे स्मित पहा , सकारात्मकतेचा हार घालून आनंद पसरवा",0
171,मी असे चित्र बनवू शकतो जे इतके वाईट आहे की कोणीही रडू शकेल,1
172,"दररोज काहीतरी नवीन शिका , ज्ञान प्रकाशाचा दिवा ठेवा",0
173,"आईच्या आवाजात लपलेली जादू , प्रत्येक  सुलभ करते",0
174,"स्मित हे सर्वात सुंदर दागिने आहेत , नेहमी ते घाला , हसणे",0
175,पीई नंतर असे दिसते आहे की कोणीतरी माझ्याकडून माझी सर्व उर्जा चोरी केली आहे .,1
176,"विराट कोहली पुन्हा शतकात पुन्हा कसा मारू शकतो , म्हणून नक्कीच काहीतरी चुकीचे आहे .",1
177,"जीवन  नदी आहे , प्रत्येक वळणावर  नवीन देखावा आहे , हसणे आणि प्रवाह , मजा करा",0
178,"बंधुत्वाचा ढोंग , प्रत्येकजण एकमेकांना सोडण्यात गुंतलेला आहे .",1
179,"त्यांना नवीन गोष्टी खरेदी करण्याची  आहे , परंतु जुन्या किंमतीची किंमत त्यांना  नाही .",1
180,"पहिल्या लयची जादू ,  पायात येते",0
181,"त्याचे पुरस्कार खरेदी केले जातात , खरी प्रतिभा अजिबात नाही !",1
182,"हे  आभासी वास्तव आहे , हे सर्व फसवणूक आहे , खरं  वास्तविकता टाळण्याचा हा  मार्ग आहे .",1
183,ही कविता वाचल्यानंतर मला वाटले की मी मुलाचे डूडल पहात आहे .,1
184,"सूर्याच्या किरणांना मिठी मारा , अपेक्षांचा दैवी दिवा प्रकाशित करा",0
185,"चांदण्यामध्ये स्वप्ने सजवा , जीवन रोमँटिक बनवा",0
186,"या चित्रकाराच्या चित्रांमध्ये कोणतीही कलात्मकता नाही , ती फक्त रंगांचा  स्प्लॅश आहे .",1
187,"दररोज काहीतरी नवीन तयार करा , जागृत रहा , जागृत रहा , प्रगती करा",0
188,"वारा बदलल्यास लवचिक रहा , आपले गंतव्यस्थान स्वतःच ठरवा",0
189,वाणिज्य वाचल्यानंतर बराच वेळ आहे की मला चार्टलाही स्पर्श करायचा नाही .,1
190,"होय , मला माहित आहे की माझी अभिनय खूप नैसर्गिक आहे , मी स्वत : ला आश्चर्यचकित करतो .",1
191,"ते काय आहे हे मला माहित नाही , परंतु मला खात्री आहे की ती कला नाही",1
192,"मित्रांच्या पुढे हसणे , आठवणींच्या ट्रेझरीमध्ये जीवनाचा प्रवास वाचवा",0
193,"सूर्य मावळल्यानंतर , तार्‍यांचे नेटवर्क आकाशात ठेवले आहे",0
194,"माझ्याकडे असलेल्या या नोट्स आहेत , मी ती स्वत : बनविली आहे , मी कोणाचीही कॉपी केली नाही .",1
195,"मॉर्निंग रे विंडो डोकावून , नवीन दिवस  येतो",0
196,"सर्व काही त्वरित विसरा , भावना खोल वाटू नका",1
197,"सूर्याच्या किरणांना मिठी द्या , नवीन दिवस नवीन अपेक्षांनी सजवा",0
198,"त्यांना फक्त पाश्चात्य संस्कृतीची कॉपी करावी लागेल , त्यांनी त्यांची संस्कृती विसरली आहे !",1
199,"असीम सापळा शिकण्यासाठी , संगणक प्रत्येक क्षणी काहीतरी नवीन उघडतो",0
200,भाषेशिवाय  कसे आणू शकतो ?,1
201,"कठोर परिश्रमांचे चालक , यशाच्या काठावर पोहोचतात",0
202,"या नवीन पिढीला काहीही माहित नाही ,  त्यांच्यासाठी देव आहे !",1
203,"थेट हसणे , प्रत्येक क्षणाचा आनंद घ्या आणि हसण्याने जीवनाचे गाणे गा",0
204,"अहो भाऊ , बँकर्सकडून कर्ज घेणे सोपे आहे , जणू मी सरकारमध्ये मागे बसलो आहे .",1
205,"शिकण्याच्या शिडीचा पराभव करा , चला अनुभव घेऊया , मजबूत व्हा",0
206,लोथल हे  प्राचीन  आहे जे सिंधू व्हॅलीच्या सभ्यतेचा भाग होते,0
207,"निसर्गाच्या संगीतात , शांतता शोधा , जीवनाचा सार विचारात घ्या",0
208,"निसर्गात झोपा , शांतता शोधा , जीवनाच्या कोडेचा विचार करा",0
209,"हा   क्रमांक आहे , प्रत्येकजण नृत्याच्या ताल्यात तरूण बनतो",0
210,"आपले रेखाचित्र पाहून , मी माझ्या डोळ्यावर विश्वास ठेवू  नाही ,  खरोखर ते बनविले आहे ?",1
211,प्रेक्षकांना हसवण्याच्या नावाने हे नाटककार मजा करते .,1
212,"अहो , आता हा आपला देव आहे ! आता आम्हाला  कोणाचीही उपासना करण्याची देखील  नाही !",1
213,काळाचा योग्य वापर हा जीवनाच्या यशाचा मुख्य भाग आहे,0
214,"जीवन  नदी आहे , प्रत्येक वळणावर  नवीन देखावा आहे , हसणे आणि हसणे , मजा करा",0
215,"क्षमा करण्यास शिका , हृदय हलके आहे , संबंध मजबूत आहेत",0
216,"मी खूप भाग्यवान आहे की मला खूप पैसे आणि कीर्ती मिळाली आहे , माझे नशीब चांगले आहे .",1
217,प्रेमाची सुगंध जीवन सुवासिक बनवते,0
218,"फेसबुकवर सिंह आणि  लिहा , परंतु एखाद्याचे स्वतःचे जीवन जगण्यात अयशस्वी",1
219,कधीही मानवांसारखे वाटत नाही  ते खरोखर बुद्धिमान आहे का ?,1
220,"आजकाल , पिझ्झा खाल्ल्यानंतर , मी पाच पुश-अप देखील करतो , आरोग्याची काळजी घेणे महत्वाचे आहे !",1
221,"आजच्या वर्कआउट्सनंतर , मला असे वाटते की उद्या मी आरशात स्वत : ला ओळखू शकणार नाही !",1
222,".. डोळ्यांत आत्मविश्वासाचा किरण , जीवनाचा पर्वत जिंकून जीवनातील पर्वत जिंकेल",0
223,"जीवनाच्या पुस्तकाची खुली पृष्ठे , असंख्य स्वप्नांचे रंगीबेरंगी कथा",0
224,"पौष्टिक पानांची जादू , आरोग्याचा खजिना मिळवा",0
225,"क्षमा करण्यास शिका ,  हलके आहे , नात्याचे बंधन मजबूत होते",0
226,"दररोज काहीतरी नवीन शिका , ज्ञानाचा दिवा ठेवा",0
227,"वडिलांच्या मार्गदर्शनाखाली वाढवा , प्रत्येक कठीण पर्वतावर जा आणि गंतव्यस्थानावर पोहोचा",0
228,"इतरांच्या आनंदात सामील व्हा , स्वत : ला",0
229,"मुला , जिममधील प्रत्येकजण इतका तंदुरुस्त दिसत आहे की माझा आत्मविश्वास निघून जातो .",1
230,प्रेमाची सुगंध जीवन सुवासिक बनवते,0
231,इतरांच्या आनंदात आपला आनंद शोधा,0
232,"निवडणुकांमध्ये विक्री करू नका , लोकशाही विक्री करा",0
233,"वा  ्यांसह ल्यूक , मुक्त पक्ष्यांप्रमाणे मोकळेपणाने उड्डाण करा",0
234,या चित्रपटाची वेशभूषा इतकी आहे की फॅशन डिझायनर्स त्यांच्या कपाळावर देखील विजय मिळवतील .,1
235,"वेळेची ताल , जीवनाचे घड्याळ बरे करते",0
236,बॉलिवूड हे एकमेव ठिकाण आहे जेथे लोकांचे जीवन गाण्यांपासून रुमालामध्ये बदलते .,1
237,जिम इतका महाग आहे की मला वाटते की मी तिथे झोपावे !,1
238,या चित्रकाराच्या रंगांचा वापर इतका जादूचा आहे की इंद्रधनुष्य देखील कमी होईल .,1
239,"सोशल मीडियावर लोकांना दिशाभूल करणे खूप सोपे आहे , प्रश्न नाही !",1
240,कदाचित एखाद्या दिवशी रोबोट्स देखील हिंदी बोलू शकतील !,1
241,"त्यांना फक्त फास्ट फूड आणि जंक फूड आवडतात , निरोगी अन्नाला स्पर्श करायलाही  नाही !",1
242,"स्वप्नांचे पंख द्या , ते आकाशाला स्पर्श करतील , ते नवीन उंचीवर घेऊन जातील",0
243,"मित्रांना हाताळा , ते जीवनाचे मौल्यवान समर्थन आहेत",0
244,"जितके अधिक कोड लिहावे तितकेच  लिहिले असेल , आता जो कोणी येईल , तो पाहेल .",1
245,मी इतका  भरतो की मला वाटते की मी स्वत :  फिरणारा  जिल्हाधिकारी आहे .,1
246,जे सोशल मीडियावर प्रत्येकाला सल्ला देतात ते स्वतःचे जीवन हाताळण्यास असमर्थ आहेत !,1
247,"डोंगराच्या मांडीवर सूर्य बुडत आहे , देखावा मोहक आहे",0
248,"लोकांचे परिपूर्ण आयुष्य सोशल मीडियावर पाहून आपले जीवन खराब करू नका , सर्व काही ढोंग करीत आहे !",1
249,हे नाटक पाहून असे वाटले की जणू आयुष्य उध्वस्त झाले आहे .,1
250,या गाण्याचे बोल इतके खोल आहेत की मला विश्वास नाही की कोणीतरी हे समजेल,1
251,"`` हे संगीत ऐकल्यानंतर , मला वाटते की संगीतकाराने त्याच्या कानांवर उपचार केले पाहिजेत ! `` ( जेव्हा संगीत कानफोडू असते )",1
252,"पहिली कविता घाल ,  जीभ द्या",0
253,"आयुष्य म्हणून प्रत्येक क्षणाचे अनुसरण करा , हसणे , स्वप्ने पहा , सुंदर आठवणी बनवा",0
254,पावसाच्या पहिल्या थेंबामुळे जीवनात नवीन सुरुवात होते,0
255,स्टॉक मार्केट - जसे प्रत्येकाप्रमाणे इन्स्टाग्रामवर वाटा बनला आहे .,1
256,"वडिलांच्या मार्गदर्शनाखाली वाढवा , प्रत्येक कठीण डोंगरावर जा आणि गंतव्यस्थान मिळवा",0
